;codici-identificativi.isil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
0;IT-AG0001;Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi;Regione siciliana. Soprintendenza per i beni culturali e ambientali;Contrada S. Nicola;Regione;Specializzata;;True;37.3361677;13.5880717;Agrigento
1;IT-AG0005;Biblioteca dell'Archivio di Stato di Agrigento;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Agrigento;Via Mazzini 185;Direzione generale Archivi;Specializzata;;True;37.3221644312329;13.5886026454773;Agrigento
2;IT-AG0006;Biblioteca del Seminario vescovile;Seminario vescovile Molfetta;Piazza don Minzoni;Enti ecclesiastici;Specializzata;False;False;37.3137125;13.5749656;Agrigento
3;IT-AG0007;Biblioteca Comunale Franco La Rocca;Comune di Agrigento;Piazzale Aldo Moro n. 3;Comune;Importante non specializzata;True;False;37.3096114156152;13.5861396789551;Agrigento
4;IT-AG0008;Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti;Comune di Agrigento;Via Belvedere 127;Comune;Pubblica;;False;37.4050904;13.5291051;Agrigento
5;IT-AG0009;Biblioteca popolare San Vito;;Via San Vito 6;NON SPECIFICATA;NON SPECIFICATA;;;37.3105394;13.5869401;Agrigento
6;IT-AG0010;Biblioteca Comunale;Comune d'Aragona;Piazza Umberto  I ;Comune - Istituzione comunale;Pubblica;;False;37.4800295;13.5458603;Aragona
7;IT-AG0011;Biblioteca comunale;Comune di Bivona;Piazza G. Marconi 43;Comune;Pubblica;;False;37.6184977;13.4405434;Bivona
8;IT-AG0012;Biblioteca comunale;Comune di Caltabellotta;Piazza Umberto I;Comune;Pubblica;;False;37.5768578;13.2157946;Caltabellotta
9;IT-AG0014;Biblioteca Comunale;Comune di Cammarata;Via dei Giardini;Comune;Pubblica;;False;37.6308269;13.6371923;Cammarata
10;IT-AG0016;Biblioteca comunale;Comune di Castrofilippo;Via Michelangelo n. 9;Comune;Pubblica;;False;37.350753;13.7501912;Castrofilippo
11;IT-AG0017;Biblioteca comunale;Comune di Cattolica Eraclea;Via collegio;Comune;Pubblica;;False;37.438755;13.3952266;Cattolica Eraclea
12;IT-AG0018;Biblioteca comunale Alessio Di Giovanni;Comune di Cianciana;Corso Vittorio Emanuele;Comune;Pubblica;;False;37.5264394;13.4336571;Cianciana
13;IT-AG0019;Biblioteca Comunale;Comune di Comitini;Piazza G. Bellacera 20;Comune;Pubblica;;False;37.4086694;13.6436159;Comitini
14;IT-AG0020;Biblioteca della Parrocchia della Beata Maria Vergine dell'Itria;;Via Beneficenza Mendola;NON SPECIFICATA;NON SPECIFICATA;;;37.3178646;13.6639854;Favara
15;IT-AG0021;Biblioteca del Circolo di cultura il Gattopardo;;Via Amendola 4;NON SPECIFICATA;NON SPECIFICATA;;;37.3211216;13.6624159;Favara
16;IT-AG0022;Biblioteca Comunale Barone Antonio Mendola;Comune di Favara;Piazza Cavour 56;Comune;Pubblica;;False;37.3147813;13.6604992;Favara
17;IT-AG0024;Biblioteca comunale Martin Luther King;Comune di Grotte;Via Fonte 3;Comune;Importante non specializzata;;False;37.4034467;13.7023793;Grotte
18;IT-AG0025;Biblioteca comunale;Comune di Joppolo Giancaxio;Via Torino;Comune;Pubblica;;False;37.3868747;13.5551581;Joppolo Giancaxio
19;IT-AG0027;Biblioteca Comunale Piersanti Mattarella;Comune di Lucca Sicula;Corso Vittorio Emanuele n. 123;Comune;Pubblica;;False;37.5786421572381;13.3070667306885;Lucca Sicula
20;IT-AG0028;Biblioteca popolare parrocchiale S. Giovanni;;;NON SPECIFICATA;NON SPECIFICATA;;;37.6198182;12.9665821;Menfi
21;IT-AG0029;Istituzione Culturale Federico II;Comune di Menfi;Via C. Ognibene n. 4;Comune;Importante non specializzata;;False;37.598265;12.96941;Menfi
22;IT-AG0030;Biblioteca Comunale Antonio Gramsci;Comune di Montallegro;Viale della Vittoria 113;Comune;Pubblica;;False;37.3890414;13.3519453;Montallegro
23;IT-AG0031;Biblioteca Comunale Feliciana;Comune di Naro;Piazza Garibaldi - Palazzo Comunale;Comune;Importante non specializzata;;False;37.2948287;13.7951239;Naro
24;IT-AG0033;Biblioteca comunale;Comune di Realmonte;Via Cosenza;Comune;Pubblica;;False;37.3059103;13.4639758;Realmonte
25;IT-AG0034;Biblioteca comunale Vincenzo Navarro;Comune di Sambuca di Sicilia;Via P. Caruso;Comune;Importante non specializzata;;False;37.647385;13.111555;Sambuca di Sicilia
26;IT-AG0036;Biblioteca comunale;Comune di San Biagio Platani;Corso Umberto 54;Comune;Pubblica;;False;37.5093493;13.526349;San Biagio Platani
27;IT-AG0037;Biblioteca Comunale;Comune di San Giovanni Gemini;Via Omero;Comune;Pubblica;;False;37.6304656;13.6498055;San Giovanni Gemini
28;IT-AG0038;Biblioteca Comunale;Comune di Sant'Angelo Muxaro;Piazza Umberto I;Comune;Pubblica;;False;37.4803233;13.5461917;Sant'Angelo Muxaro
29;IT-AG0039;Biblioteca Comunale;Comune di Santa Margherita di Belice;Via Regione Siciliana n. 20;Comune;Pubblica;;False;37.6973237;13.0113019;Santa Margherita di Belice
30;IT-AG0040;Biblioteca comunale G. Ansalone;Comune di Santo Stefano Quisquina;Via L. Panepinto;Comune;Pubblica;;False;37.623834;13.4912204;Santo Stefano Quisquina
31;IT-AG0041;Biblioteca del Collegio della congregazione del SS. Redentore;;Piazza Purgatorio 10;NON SPECIFICATA;NON SPECIFICATA;;;37.5676311;13.0587399;Sciacca
32;IT-AG0042;Biblioteca Comunale Tommaso Fazello;Comune di Sciacca;Via Roma n. 13;Comune;Importante non specializzata;;False;37.50703;13.082185;Sciacca
33;IT-AG0043;Biblioteca comunale Giuseppe Antonio Musso;Comune di Villafranca Sicula;Via Campi;Comune;Pubblica;;False;37.5864134;13.2906319;Villafranca Sicula
34;IT-AG0044;Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto;Comune di Agrigento;Presso Scuola elementare - Via S. Giuseppe;Comune;Pubblica;;False;37.3111882;13.576956;Agrigento
35;IT-AG0045;Biblioteca comunale Santo Spirito. Sezione esterna di Villaseta;Comune di Agrigento;Via XX settembre;Comune;Pubblica;;False;37.298694;13.563071;Agrigento
36;IT-AG0046;Biblioteca del Centro culturale Pirandello;;Via Dante 105;NON SPECIFICATA;NON SPECIFICATA;;;37.3096807;13.5762527;Agrigento
37;IT-AG0047;Biblioteca del Patronato ACLI;;Via Dinoloco 3;NON SPECIFICATA;NON SPECIFICATA;;;37.3082862;13.5826647;Agrigento
38;IT-AG0048;Biblioteca della Camera di commercio, industria, artigianato e agricoltura;;Piazza Gallo;NON SPECIFICATA;NON SPECIFICATA;;;37.3111996;13.5790995;Agrigento
39;IT-AG0049;Biblioteca di cinema e spettacolo Efebo d'Oro;;Via Empedocle 159;NON SPECIFICATA;NON SPECIFICATA;;;37.3098486;13.5824546;Agrigento
40;IT-AG0050;Biblioteca internazionale pirandelliana. Centro studi pirandelliani;;Via S. Lucia 27;NON SPECIFICATA;NON SPECIFICATA;;True;37.3108758;13.578572;Agrigento
41;IT-AG0051;Biblioteca Comunale Falcone - Borsellino;Comune di Alessandria della Rocca;Piazza Luigi Ingo n. 8;Comune;Pubblica;;False;37.5683954;13.4556857;Alessandria della Rocca
42;IT-AG0052;Biblioteca popolare San Paolo della Croce. Convento dei padri passionisti;;Santuario Madonna della Rocca;NON SPECIFICATA;NON SPECIFICATA;;;37.5681904;13.4543342;Alessandria della Rocca
43;IT-AG0053;Biblioteca comunale;Comune di Aragona;Via Palestrina;Comune;Pubblica;;False;37.4044279;13.6184829;Aragona
44;IT-AG0054;Biblioteca comunale;;Via Nazionale 1;NON SPECIFICATA;NON SPECIFICATA;;;37.6009891;13.2874447;Burgio
45;IT-AG0055;Biblioteca comunale;Comune di Calamonaci;Piazza municipio;NON SPECIFICATA;NON SPECIFICATA;;True;37.5257432;13.2911904;Calamonaci
46;IT-AG0058;Biblioteca comunale;Comune di Canicatti';Via Cavallotti 9;Comune;Pubblica;;False;37.3585208;13.8492245;Canicattì
47;IT-AG0059;Biblioteca dell'Ospedale civile Barone Lombardo;;Via P. Micca;NON SPECIFICATA;NON SPECIFICATA;;;37.3597826;13.8532322;Canicattì
48;IT-AG0060;Biblioteca Comunale;Comune di Casteltermini;Via Roma 4;Comune;Pubblica;;False;37.5405211;13.6400753;Casteltermini
49;IT-AG0061;Biblioteca popolare don Gerlando Re;;C/o Acli - Corso Comm. Cinquemani Arcuri;NON SPECIFICATA;NON SPECIFICATA;;;37.5208;13.436335;Cianciana
50;IT-AG0062;Biblioteca comunale;Comune di Lampedusa e Linosa;Presso Delegazione municipale;Comune;Pubblica;;True;35.5027009;12.6091837;Lampedusa e Linosa
51;IT-AG0064;Biblioteca comunale;Comune di Montevago;Piazza della Repubblica 7;Comune;Importante non specializzata;;False;37.7026377;12.9901325;Montevago
52;IT-AG0065;Biblioteca Comunale Giovanni Falcone;Comune di Palma di Montechiaro;Via Carlo Marx n. 3;Comune;Importante non specializzata;;False;37.1895107;13.7694488;Palma di Montechiaro
53;IT-AG0066;Biblioteca comunale;Comune di Porto Empedocle;Palazzo comunale - Via Roma;Comune;Pubblica;;False;37.2885843;13.5280378;Porto Empedocle
54;IT-AG0067;Biblioteca comunale;Comune di Racalmuto;Via Messana;Comune;Pubblica;;False;37.4069215;13.7327047;Racalmuto
55;IT-AG0068;Biblioteca popolare Virtus Matrice;Chiesa Madre di Racalmuto;Via della Repubblica 2;Enti ecclesiastici;Pubblica;;False;37.40868;13.732503;Racalmuto
56;IT-AG0069;Biblioteca comunale;Comune di Raffadali;Via Nazionale;Comune;Pubblica;;False;37.4097845;13.5275723;Raffadali
57;IT-AG0070;Biblioteca comunale;Comune di Ravanusa;Corso della Repubblica;Comune;Pubblica;;False;37.2679233;13.9750838;Ravanusa
58;IT-AG0071;Biblioteca comunale Antonio Gramsci;Comune di Ribera;Piazza Duomo;Comune;Pubblica;;False;37.5024753;13.2659348;Ribera
59;IT-AG0072;Biblioteca comunale;Comune di Santa Elisabetta;Corso Umberto 45;Comune;Pubblica;;False;37.431386;13.558815;Santa Elisabetta
60;IT-AG0073;Biblioteca Belluno;;Via Pordenone 8;NON SPECIFICATA;NON SPECIFICATA;;;37.6866426;13.0241726;Santa Margherita di Belice
61;IT-AG0074;Biblioteca degli Ospedali civili riuniti;;Via Figuli;NON SPECIFICATA;NON SPECIFICATA;;;37.506355;13.0896534;Sciacca
62;IT-AG0075;Biblioteca comunale;;Piazza municipio;NON SPECIFICATA;NON SPECIFICATA;;;37.3929721;13.3496118;Siculiana
63;IT-AG0078;Biblioteca della Provincia regionale di Agrigento;Provincia di Agrigento;Piazzale A. Moro 3;Provincia;Specializzata;;False;37.3095106;13.5860526;Agrigento
64;IT-AG0079;Biblioteca comunale Santo Spirito. Sezione esterna di Fontanelle;Comune di Agrigento;Via Fontanelle 33  - presso Centro civico commerciale;Comune;Pubblica;;False;37.3374874377752;13.5837707552948;Agrigento
65;IT-AG0080;Biblioteca comunale Santo Spirito. Sezione esterna di Villaggio Mosè;Comune di Agrigento;Via Meli 1;Comune;Pubblica;;False;37.2723212;13.6270158;Agrigento
66;IT-AG0085;Biblioteca Lucchesiana;Deputazione dei canonici della biblioteca Lucchesiana;Via Duomo 94;Accademie, associazioni, fondazioni, istituti, societa' (privati);Importante non specializzata;;False;37.3135702;13.577717;Agrigento
67;IT-AG0087;Biblioteca dell'Opera Pia Villa Betania;Opera Pia Villa Betania;Via C. Marx 2;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;False;37.2966933;13.5661325;Agrigento
68;IT-AG0089;Biblioteca Comunale L. Vitali;Comune di Licata;Piazza Progresso n. 10;Comune;Importante non specializzata;;False;37.1011276;13.9374357;Licata
69;IT-AG0090;Biblioteca comunale;Comune di Campobello di Licata;Via Sammarco 1;Comune;Pubblica;;False;37.2560726;13.9187469;Campobello di Licata
70;IT-AG0091;Biblioteca Museo Luigi Pirandello;Regione siciliana;Via Imera 50;Regione;Specializzata;;False;37.3124703;13.5857746;Agrigento
71;IT-AG0092;Biblioteca della Comunità Cristiani nel mondo;;Via Piersanti Mattorella 2;NON SPECIFICATA;NON SPECIFICATA;;False;37.3510809;13.750604;Favara
72;IT-AG0093;Biblioteca della Fondazione Leonardo Sciascia;Fondazione Leonardo Sciascia;V.le della vittoria, 3 ;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;37.4059861;13.7309295;Racalmuto
73;IT-AG0094;Biblioteca Verba volant;Ministero dell'istruzione, dell'università e della ricerca;Via Acrone 23;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;37.3089681;13.5834971;Agrigento
74;IT-AG0095;Biblioteca dell'Istituto Comprensivo Anna Frank;Ministero dell'istruzione, dell'università e della ricerca;Via Matteo Cimarra, 5/a;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;37.3208802;13.5821441;Agrigento
75;IT-AG0096;Biblioteca del Circolo didattico S.G. Bosco;;Via Dante 258;NON SPECIFICATA;NON SPECIFICATA;;;37.311634;13.5705384;Agrigento
76;IT-AG0097;Biblioteca dell'Istituto professionale per i servizi commerciali e turistici Nicolò Gallo;Ministero dell'istruzione, dell'università e della ricerca;Via Regione siciliana;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;37.3211324;13.5782564;Agrigento
77;IT-AG0098;Biblioteca Comunale;Comune di Camastra;Via Vittorio Veneto;Comune;Pubblica;;False;37.2534645;13.792158;Camastra
78;IT-AG0099;Biblioteca della Fondazione Giovanni Guarino Amella;Fondazione Giovanni Guarino Amella;Contrada Montagna c.p. 1311;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;;37.3586112;13.8477121;Canicattì
79;IT-AG0134;Biblioteca del Polo didattico di Agrigento. Università degli studi di Palermo;Università degli studi di Palermo;Via Ugo La Malfa;Universita' statali;Istituto di insegnamento superiore;True;False;37.3020872850997;13.5929968772461;Agrigento
80;IT-AL0001;Biblioteca civica;Comune di Acqui Terme;Via Maggiorino Ferraris 15;Comune;Pubblica;;False;44.6775182;8.4670569;Acqui Terme
81;IT-AL0002;Biblioteca civica Francesca Calvo;Comune di Alessandria;Piazza Vittorio Veneto 1;Comune;Pubblica;;False;44.9114484;8.6193907;Alessandria
82;IT-AL0003;Biblioteca dell'Archivio di Stato di Alessandria;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Alessandria;Via Giorgio Solero 43;Direzione generale Archivi;Specializzata;;True;44.9137392;8.6259887;Alessandria
83;IT-AL0004;Biblioteca diocesana del Seminario vescovile;Seminario Diocesano;Via Inviziati, 1;Enti ecclesiastici;Importante non specializzata;False;False;44.9169522;8.6130294;Alessandria
84;IT-AL0005;Biblioteca militare del Presidio;Ministero della difesa;Piazza San Martino;Presidenza del consiglio dei ministri e ministeri;NON SPECIFICATA;;;44.91564;8.606235;Alessandria
85;IT-AL0006;Biblioteca delle Societa' di storia, arte e archeologia per le province di Alessandria e Asti;Societa' di storia, arte e archeologia per le province di Alessandria e Asti;Via Plana 42;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.9148321;8.6186655;Alessandria
86;IT-AL0007;Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA;Camera di commercio, industria, artigianato e agricoltura - CCIAA di Alessandria;Via San Lorenzo 21;Camere di commercio, industria, artigianato;Specializzata;;False;44.9130405;8.614091;Alessandria
87;IT-AL0008;Biblioteca civica;Comune di Alfiano Natta;Via Roma 6;Comune;Pubblica;;False;45.0470654;8.2085733;Alfiano Natta
88;IT-AL0009;Biblioteca civica;Comune di Alice Bel Colle;Piazza Guacchione 1;Comune;Pubblica;;False;44.725691;8.4511626;Alice Bel Colle
89;IT-AL0011;"Biblioteca civica ""Gaetano Poggi""";Comune di Arquata Scrivia;Piazza S. Bertelli 19;Comune;Pubblica;;False;44.686673;8.88599199999999;Arquata Scrivia
90;IT-AL0013;Biblioteca civica;Comune di Bassignana;Via Cavour 6;Comune;Pubblica;;False;45.003353;8.73610699999995;Bassignana
91;IT-AL0014;Biblioteca civica;Comune di Bistagno;Corso Carlo Testa 3;Comune;Pubblica;;False;44.6602097;8.3699538;Bistagno
92;IT-AL0015;Biblioteca civica;Comune di Borghetto di Borbera;Piazza Europa, 13;Comune;Pubblica;;False;44.7309963;8.9452855;Borghetto di Borbera
93;IT-AL0016;Biblioteca civica Pio e Ildegarda Occella;Comune di Bosco Marengo;Via L. Verde;Comune;Pubblica;;False;44.822143;8.676652;Bosco Marengo
94;IT-AL0017;Biblioteca civica;Comune di Bosio;Via Umberto I  50;Comune;Pubblica;;False;44.6469431;8.7911112;Bosio
95;IT-AL0020;Biblioteca civica Ferrero;Comune di Carpeneto;Piazza Municipio 6;Comune;Pubblica;;False;44.5627149;9.2176371;Carpeneto
96;IT-AL0021;Biblioteca civica Fedele Barco;Comune di Casal Cermelli;Piazza San Carlo 8;Comune;Pubblica;;False;44.8351618;8.6260029;Casal Cermelli
97;IT-AL0023;Biblioteca dell'UNICEM;UNICEM;;NON SPECIFICATA;NON SPECIFICATA;;;45.1263017;8.4690695;Casale Monferrato
