CODICESCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat
MIEE8D001X;201617;NORD OVEST;20152;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;VIA VITERBO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA VITERBO 31;MILANO;LOMBARDIA;SI;http//www.icsiqbalmasih.gov.it;True;9,1076737;45,45614279999999
MIEE8CT01X;201617;NORD OVEST;20162;F205;MIIC8CT00T;IC VITTORIO LOCCHI/MILANO;VITTORIO LOCCHI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CT00T@istruzione.it;Non Disponibile;VIA PASSERINI 4 8;MILANO;LOMBARDIA;SI;www.comprensivolocchi.it;True;9,1934635;45,5155292
MITD05701N;201617;NORD OVEST;20144;F205;MIIS05700B;NICOLA MORESCHI;NICOLA MORESCHI;NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS05700B@istruzione.it;Non Disponibile;VIALE SAN MICHELE DEL CARSO 25;MILANO;LOMBARDIA;SI;www.istitutomoreschi.it;True;9,1640676;45,4627709
MIMM11300B;201617;NORD OVEST;20122;F205;MIMM11300B;"SMS VIA VIVAIO ""PER CIECHI""";"SMS VIA VIVAIO ""PER CIECHI""";PER CIECHI;MILANO;SCUOLA PRIMO GRADO;SI;Non Disponibile;MIMM11300B@istruzione.it;mimm11300b@pec.istruzione.it;VIA VIVAIO 7;MILANO;LOMBARDIA;SI;www.scuolavivaio.gov.it;True;9,2042;45,46863
MIMM8FY01P;201617;NORD OVEST;20146;F205;MIIC8FY00N;I.C VIA VESPRI SICILIANI/MILANO;"SMS ""RINASCITA-A.LIVI""";SPERIMENTALE PER DM;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FY00N@istruzione.it;Non Disponibile;VIA CARRIERA ROSALBA N? 12/14;MILANO;LOMBARDIA;SI;WWW.ICSVESPRI.GOV;True;9,1436624;45,4469353
MIEE8C0019;201617;NORD OVEST;20152;F205;MIIC8C0007;IC LUIGI EINAUDI /MILANO;"SCUOLA ELEMENTARE ""L. EINAUDI""";NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C0007@istruzione.it;Non Disponibile;VIA VAL D'INTELVI 11;MILANO;LOMBARDIA;SI;www.icseinaudipascoli.gov.it;True;9,0873242;45,46046740000001
MIPS18000P;201617;NORD OVEST;20146;F205;MIPS18000P;ELIO VITTORINI;ELIO VITTORINI;NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS18000P@istruzione.it;mips18000p@pec.istruzione.it;VIA MARIO DONATI5/7;MILANO;LOMBARDIA;SI;www.eliovittorini.gov.it;True;9,14576;45,45461
MIMM8C7013;201617;NORD OVEST;20153;F205;MIIC8C7002;I.C. LUCIANO MANARA;BENEDETTO MARCELLO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA BENJAMIN CONSTANT 19;MILANO;LOMBARDIA;SI;www.isitutolucianomanara.gov.it;True;9,1139315;45,4721945
MIRI07401R;201617;NORD OVEST;20158;F205;MIIS074005;MARELLI;MARELLI;NORMALE;MILANO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;MIIS074005@istruzione.it;Non Disponibile;VIA LIVIGNO11;MILANO;LOMBARDIA;SI;www.marellidudovich.it;True;9,1781284;45,500559
MIMM8CE01B;201617;NORD OVEST;20144;F205;MIIC8CE00A;"IC ""G. PASCOLI""/MILANO";ACHILLE MAURI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CE00A@istruzione.it;Non Disponibile;VIA ANGELO MAURI 10;MILANO;LOMBARDIA;SI;www.icspascoli-mi.gov.it;True;9,1610018;45,4655604
