CODICESCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat
TOPC070004;201617;NORD OVEST;10121;L219;TOPC070004;M. D'AZEGLIO;M. D'AZEGLIO;NORMALE;TORINO;LICEO CLASSICO;SI;Non Disponibile;TOPC070004@istruzione.it;topc070004@pec.istruzione.it;VIA PARINI8;TORINO;PIEMONTE;SI;www.liceomassimodazeglio.it;True;7,6757874;45,0650845
TOAA82002E;201617;NORD OVEST;10135;L219;TOIC82000L;"I.C. TORINO - ""SALVEMINI""";I.C. SALVEMINI - INF. C. MIR.;NORMALE;TORINO;SCUOLA INFANZIA;NO;Non Disponibile;TOIC82000L@istruzione.it;Non Disponibile;STR. CASTELLO DI MIRAFIORI 45;TORINO;PIEMONTE;SI;http//www.ic-salvemini-torino.it;True;7,62946;45,01198
TOMM86401B;201617;NORD OVEST;10153;L219;TOIC86400A;"I.C. TORINO - ""SPINELLI""";SCUOLA INT.EUROP. A.SPINELLI-TO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC86400A@istruzione.it;Non Disponibile;CORSO TORTONA N 41;TORINO;PIEMONTE;SI;www.istitutoaltierospinelli.eu;True;7,706506500000001;45,0725632
TOEE029027;201617;NORD OVEST;10155;L219;TOEE029005;"D.D. TORINO - ""GABELLI""";GABELLI - PESTALOZZI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE029005@istruzione.it;Non Disponibile;VIA BANFO 32;TORINO;PIEMONTE;SI;www.arigabelli.gov.it;True;7,6870812;45,091546
TOEE016014;201617;NORD OVEST;10129;L219;TOEE016003;"D.D. TORINO - ""COPPINO""";COPPINO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE016003@istruzione.it;Non Disponibile;VIA COLOMBO 36;TORINO;PIEMONTE;SI;www.circolodidatticocoppino.it;True;7,660240199999999;45,05820809999999
TOMM879015;201617;NORD OVEST;10147;L219;TOIC879004;I.C. TORINO - VIVALDI-MURIALDO;I.C.VIVALDI MURIALDO-VIVALDI TO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC879004@istruzione.it;Non Disponibile;VIA CASTELDELFINO 24;TORINO;PIEMONTE;SI;www.vivaldi-murialdo.it;True;7,6726292;45,1004777
TOEE87802B;201617;NORD OVEST;10148;L219;TOIC878008;I.C. TORINO - UMBERTO SABA;I.C. UMBERTO SABA -L. RADICE;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC878008@istruzione.it;Non Disponibile;CORSO GROSSETO N. 112;TORINO;PIEMONTE;SI;www.icsabatorino.gov;True;7,677618999999999;45,1047851
TOEE029016;201617;NORD OVEST;10154;L219;TOEE029005;"D.D. TORINO - ""GABELLI""";GABELLI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE029005@istruzione.it;Non Disponibile;VIA SANTHIA 25;TORINO;PIEMONTE;SI;www.arigabelli.gov.it;True;7,696663099999999;45,0909991
TOEE80501L;201617;NORD OVEST;10156;L219;TOIC80500E;"I.C. TORINO - ""CENA""";I.C. CENA - TORINO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC80500E@istruzione.it;Non Disponibile;STRADA SAN MAURO 32;TORINO;PIEMONTE;SI;share.dschola.it/cenatorino/default.aspx;True;7,7270179;45,0997414
TOPC090009;201617;NORD OVEST;10124;L219;TOPC090009;V. GIOBERTI;V. GIOBERTI;NORMALE;TORINO;LICEO CLASSICO;SI;Non Disponibile;TOPC090009@istruzione.it;topc090009@pec.istruzione.it;VIA S. OTTAVIO 9;TORINO;PIEMONTE;SI;liceogioberti.it;True;7,693551899999998;45,0675953
