,AgeGroup.Newborn,AgeGroup.ChildPrimary,AgeGroup.ChildMid,AgeGroup.ChildHigh,AgeGroup.Young,AgeGroup.Junior,AgeGroup.Senior,AgeGroup.Over50,AgeGroup.Over65,AgeGroup.Over80
SACCO,0.0,0.4007465663132629,0.4424908270323422,0.5655948756536116,0.0,0.0,0.0,0.0,0.0,0.0
COMASINA,0.0,1.0257067432402194,0.6271327767018898,1.6390260554708087,0.0,0.0,0.0,0.0,0.0,0.0
STEPHENSON,0.0,0.5280394611230547,0.46924389658616555,0.7007686515592844,0.0,0.0,0.0,0.0,0.0,0.0
QT 8,0.0,0.9506751035168136,0.8136248350424526,1.407984293810225,0.0,0.0,0.0,0.0,0.0,0.0
ORTOMERCATO,0.0,0.9812702948223547,0.8306530931822881,1.061751607575006,0.0,0.0,0.0,0.0,0.0,0.0
MAGGIORE - MUSOCCO,0.0,0.3284683606716307,0.1553618707509283,0.5840190857774723,0.0,0.0,0.0,0.0,0.0,0.0
PARCO LAMBRO - CIMIANO,0.0,0.7241532321521927,0.4717091705492461,1.2262630894425783,0.0,0.0,0.0,0.0,0.0,0.0
GALLARATESE,0.0,0.759226590837096,0.5634005627600581,0.9538450330006802,0.0,0.0,0.0,0.0,0.0,0.0
S. SIRO,0.0,0.8236922901260897,0.6757576998954047,1.2405355553163175,0.0,0.0,0.0,0.0,0.0,0.0
GHISOLFA,0.0,1.1342528351392298,0.656697560944621,0.9341761516792155,0.0,0.0,0.0,0.0,0.0,0.0
BAGGIO,0.0,0.8553304416740133,0.6835523197029763,0.4448830161157104,0.0,0.0,0.0,0.0,0.0,0.0
QUARTO CAGNINO,0.0,0.8491750923677152,0.7028646027635095,0.874997824866635,0.0,0.0,0.0,0.0,0.0,0.0
LORENTEGGIO,0.0,0.8962075042003927,0.6536684406851563,0.7485978920266223,0.0,0.0,0.0,0.0,0.0,0.0
GIAMBELLINO,0.0,0.997037291793155,0.7878461613957606,0.8569464544856193,0.0,0.0,0.0,0.0,0.0,0.0
S. CRISTOFORO,0.0,0.7964508493834354,0.7782662723816711,0.723796252290634,0.0,0.0,0.0,0.0,0.0,0.0
RONCHETTO SUL NAVIGLIO,0.0,0.908146873371719,0.5536662885832031,0.32446373665046074,0.0,0.0,0.0,0.0,0.0,0.0
TIBALDI,0.0,1.1347422291762248,0.776382380799376,1.2958174899792025,0.0,0.0,0.0,0.0,0.0,0.0
CASCINA TRIULZA - EXPO,0.0,0.0013227253715247214,0.00388307261892606,0.07128066068037045,0.0,0.0,0.0,0.0,0.0,0.0
QUARTO OGGIARO,0.0,0.8989304455129552,0.6692944328991526,0.8715001269857174,0.0,0.0,0.0,0.0,0.0,0.0
AFFORI,0.0,1.0556140650049803,0.8816264604878907,0.6190386105427886,0.0,0.0,0.0,0.0,0.0,0.0
