IDquartiere;quartiere;indice_stranieri;perc_europei;perc_africa;perc_america;perc_asia;perc_oceania;indice_vecchiaia;indice_vecchiaia_uomo;indice_vecchiaia_donna;indice_pop_attiva;indice_pop_attiva_donna
1;DUOMO;0.1086093577145832;0.3055721989215099;0.08807669263031756;0.17555422408627921;0.42959856201318153;0.0011983223487118035;1.677846008502598;1.4084249084249085;1.9648780487804878;1.4126984126984128;1.4630872483221478
2;BRERA;0.10261811616009629;0.3460410557184751;0.06392961876832845;0.1718475073313783;0.4129032258064516;0.005278592375366569;1.793527803099362;1.457092819614711;2.158745247148289;1.4492529623905204;1.5419068736141908
3;GIARDINI PORTA VENEZIA;0.18518518518518517;0.1;0.0;0.2;0.7;0.0;0.45454545454545453;0.4;0.5;0.5;1.2222222222222223
4;GUASTALLA;0.102723125178215;0.27550312283136713;0.04441360166551006;0.20541290770298404;0.4732824427480916;0.0013879250520471894;1.925207756232687;1.5736095965103598;2.2882882882882885;1.3654524089306699;1.5524324324324323
5;VIGENTINA;0.08238478070524556;0.30917874396135264;0.10338164251207729;0.19903381642512077;0.3864734299516908;0.001932367149758454;1.8735565819861433;1.435215946843854;2.3510253317249696;1.387878787878788;1.517133956386293
6;TICINESE;0.08864176203843663;0.2850182704019488;0.13032886723507917;0.19488428745432398;0.38976857490864797;0.0;1.9361602982292638;1.5090415913200723;2.3903846153846153;1.1684250188394876;1.201497617426821
7;MAGENTA - S. VITTORE;0.08764792899408284;0.340365682137834;0.06329113924050633;0.1729957805907173;0.4170182841068917;0.006329113924050633;1.5688421052631578;1.211661341853035;1.9670525378450578;1.4938337801608579;1.5066422354557947
8;PARCO SEMPIONE;0.0;;;;;;0.0;0.0;;1.0;
9;GARIBALDI REPUBBLICA;0.11117898594990837;0.2490842490842491;0.07509157509157509;0.2673992673992674;0.4010989010989011;0.007326007326007326;1.8298245614035087;1.298360655737705;2.4415094339622643;1.2837078651685394;1.3885714285714286
10;CENTRALE;0.18032473734479465;0.1507768361581921;0.07662429378531073;0.2108050847457627;0.5614406779661016;0.00035310734463276836;1.7307496175420705;1.3058933582787653;2.2399103139013454;1.2588028169014085;1.3472784525416104
11;ISOLA;0.1413816959873493;0.1789584061516952;0.14750087382034255;0.188046137714086;0.48549458231387627;0.0;1.843432289548597;1.3701960784313725;2.3530405405405403;1.2474870017331023;1.3366747321119945
12;MACIACHINI - MAGGIOLINA;0.151621531260448;0.1543550165380375;0.11686879823594266;0.22298787210584345;0.5057883131201764;0.0;2.1052631578947367;1.5548862115127176;2.71165191740413;1.2701525054466232;1.4128952262864227
13;GRECO;0.18632863576928665;0.16023391812865498;0.13606237816764133;0.21052631578947367;0.49317738791423;0.0;1.8792621576299608;1.4285714285714286;2.360693641618497;1.2392444910807974;1.2771084337349397
14;NIGUARDA - CA' GRANDA;0.0982197134172818;0.2278219864426761;0.26702033598585323;0.2502210433244916;0.2549366342469791;0.0;2.4661079615479418;1.8986064392119173;3.0637651821862346;1.3169095535507749;1.511879049676026
15;BICOCCA;0.12060065696855936;0.18028534370946822;0.26329442282749677;0.23216601815823606;0.324254215304799;0.0;1.055609756097561;0.8934108527131783;1.2200392927308448;1.2050505050505051;1.2908496732026145
16;VIALE MONZA;0.17948415506801918;0.1805038335158817;0.11325301204819277;0.2674698795180723;0.4376779846659365;0.001095290251916758;1.8272783251231528;1.491725768321513;2.192159383033419;1.1535539880629408;1.2376850605652758
17;ADRIANO;0.15079726651480638;0.2054380664652568;0.1661631419939577;0.21852970795568982;0.40986908358509566;0.0;0.9494020239190433;0.8182608695652174;1.0966796875;1.0832558139534885;1.2399396378269618
18;PARCO LAMBRO - CIMIANO;0.1131681737920702;0.21891252955082743;0.1314420803782506;0.29598108747044916;0.3536643026004728;0.0;2.76878612716763;2.084348641049672;3.4925668979187314;1.335278276481149;1.4703315881326353
19;PADOVA;0.2515705311250714;0.13166855845629966;0.17152226005801488;0.2224744608399546;0.47420860133686465;0.0001261193088661874;2.086311887741594;1.5680081507896078;2.647188533627343;1.116816431322208;1.297602581834947
20;LORETO;0.2577242101307277;0.11811269659410478;0.1833142381001979;0.19966670138527237;0.4988022081033226;0.00010415581710238516;1.6417159115780258;1.2376111817026683;2.0738224637681157;1.0232007575757576;1.2086459449803502
21;BUENOS AIRES - VENEZIA;0.09678210450715574;0.2767420814479638;0.09592760180995476;0.19710407239819006;0.42877828054298645;0.0014479638009049773;1.8662244333886124;1.476384364820847;2.2705518018018016;1.3308067135896047;1.4788750648004148
22;CITTA' STUDI;0.11367621274108708;0.23136246786632392;0.12673521850899744;0.2961439588688946;0.34498714652956297;0.0007712082262210797;2.402540176257128;1.7256281407035177;3.123661670235546;1.2388093106535363;1.4087749782797567
23;LAMBRATE;0.1539694411796132;0.1714087439278279;0.17418459403192227;0.23525329632199862;0.41915336571825124;0.0;1.3876080691642652;1.06056338028169;1.7300884955752212;1.176;1.1745014245014245
24;PARCO FORLANINI - ORTICA;0.21566110397946084;0.30357142857142855;0.26785714285714285;0.23214285714285715;0.19642857142857142;0.0;1.1538461538461537;0.9259259259259259;1.4;1.1729323308270676;0.9136690647482014
25;CORSICA;0.11984282907662082;0.2351288056206089;0.08477751756440281;0.24355971896955503;0.4360655737704918;0.000468384074941452;2.27549540840986;1.7149576669802447;2.86779324055666;1.323822463768116;1.4308641975308642
26;XXII MARZO;0.07634108104423692;0.2825892857142857;0.1125;0.22544642857142858;0.3767857142857143;0.0026785714285714286;1.9738896366083445;1.4849585062240664;2.501398992725238;1.4504297994269342;1.5515976951283394
27;PORTA ROMANA;0.08946283653226846;0.26997840172786175;0.10583153347732181;0.2059035277177826;0.41828653707703384;0.0;1.8059384941675505;1.3806193806193807;2.287005649717514;1.225629290617849;1.2548278757346767
28;UMBRIA - MOLISE;0.15488052626487375;0.16021236727045596;0.2848219862585884;0.19706433479075577;0.35727670206121176;0.0006246096189881324;2.123740427247078;1.5547785547785549;2.7370184254606365;1.1753472222222223;1.3194009056078022
29;ORTOMERCATO;0.27371651785714285;0.14169215086646278;0.30784913353720694;0.2344546381243629;0.3160040774719674;0.0;2.2195704057279237;1.5740740740740742;2.9064039408866993;1.0618374558303887;1.202061855670103
30;MECENATE;0.11372790333407921;0.22528283325135268;0.20708312838170193;0.31382193802262665;0.2538121003443187;0.0;2.7277829747427504;2.0496780128794847;3.429115128449096;1.3507751937984496;1.4368370298939248
31;PARCO MONLUE' - PONTE LAMBRO;0.2787730061349693;0.12323943661971831;0.301056338028169;0.3503521126760563;0.22535211267605634;0.0;0.93033381712627;0.8123167155425219;1.0459770114942528;0.9957865168539326;1.0369230769230768
32;TRIULZO SUPERIORE;0.5379146919431279;0.14390602055800295;0.2790014684287812;0.2701908957415565;0.3069016152716593;0.0;0.6180904522613065;0.5045871559633027;0.7555555555555555;0.8647686832740213;0.8502202643171806
33;ROGOREDO;0.12822978007451027;0.22399250234301782;0.1640112464854733;0.35238987816307404;0.25866916588566075;0.0009372071227741331;0.884450784593438;0.7024793388429752;1.0798816568047338;1.0622347949080622;1.0316176470588236
34;CHIARAVALLE;0.0863239573229874;0.21348314606741572;0.11235955056179775;0.1797752808988764;0.4943820224719101;0.0;1.9056603773584906;1.8979591836734695;1.912280701754386;1.4407894736842106;1.8617886178861789
35;LODI - CORVETTO;0.18745766886275475;0.17966825422893742;0.24059779931023156;0.22647396945311216;0.35325997700771883;0.0;2.276175630033775;1.620792079207921;3.0;1.2019166480944952;1.3683337283716521
36;SCALO ROMANA;0.24203549283728887;0.10644876325088339;0.28091872791519434;0.20229681978798586;0.41033568904593637;0.0;1.5837696335078535;1.3800350262697023;1.7860869565217392;1.0418977202711028;1.3702848344880678
37;EX OM - MORIVIONE;0.12198483804272915;0.1536723163841808;0.14463276836158193;0.22259887005649717;0.47909604519774013;0.0;1.591469194312796;1.0742115027829313;2.131782945736434;1.130560928433269;1.2118320610687023
38;RIPAMONTI;0.08301617507136061;0.2664756446991404;0.12416427889207259;0.2607449856733524;0.34765998089780326;0.0009551098376313276;2.0078171978352377;1.6801853997682503;2.36125;1.2851851851851852;1.4923469387755102
39;QUINTOSOLE;0.23598130841121495;0.48514851485148514;0.34983498349834985;0.066006600660066;0.09900990099009901;0.0;2.1052631578947367;3.357142857142857;0.896551724137931;1.6363636363636365;0.9574468085106383
40;RONCHETTO DELLE RANE;0.13513513513513514;0.09;0.42;0.23;0.26;0.0;0.525;0.40425531914893614;0.696969696969697;1.46;1.5252525252525253
41;GRATOSOGLIO - TICINELLO;0.09784646854934939;0.148664343786295;0.3315911730545877;0.18873403019744484;0.3310104529616725;0.0;2.5155393053016453;2.086442220200182;2.948576675849403;1.4641586171835281;1.6715945089757127
42;STADERA;0.1431452365836352;0.16957996347508478;0.22488912079311243;0.22462822854161232;0.38012001043569005;0.0007826767545003914;1.8561253561253561;1.425845147219193;2.3269689737470167;1.1521229486845532;1.2865607325612711
43;TIBALDI;0.12017568451546584;0.20762052877138415;0.19984447900466562;0.24650077760497668;0.3452566096423017;0.0007776049766718507;2.5381205673758864;1.9661319073083778;3.1040564373897706;1.078616352201258;1.266977363515313
44;NAVIGLI;0.11383414384438188;0.2478920741989882;0.18324901630129287;0.2703766160764474;0.2962338392355256;0.0022484541877459247;1.7733545647558386;1.3147773279352226;2.279017857142857;1.0822784810126582;1.0657347941065356
45;S. CRISTOFORO;0.14109362054681027;0.22724603640634175;0.273047563123899;0.22724603640634175;0.2724603640634175;0.0;1.8699934340118187;1.5515463917525774;2.2008032128514055;1.1212814645308924;1.2766685681688534
46;BARONA;0.09503856197242971;0.14696485623003194;0.4460063897763578;0.18466453674121405;0.22236421725239616;0.0;2.92816091954023;2.3568232662192394;3.5319148936170213;1.399897066392177;1.7422737306843268
47;CANTALUPA;0.10588235294117647;0.17777777777777778;0.24444444444444444;0.17777777777777778;0.4;0.0;1.1612903225806452;1.0588235294117647;1.2857142857142858;1.4444444444444444;1.0921052631578947
48;RONCHETTO SUL NAVIGLIO;0.09822519221096501;0.18653986832479882;0.2582297000731529;0.3035844915874177;0.2516459400146306;0.0;2.5358056265984654;2.155893536121673;2.92258064516129;1.3375071143995447;1.5132119788608338
49;GIAMBELLINO;0.1896665853743511;0.1473181484202792;0.3152094048493755;0.1991182953710507;0.3381704628949302;0.0001836884643644379;1.8985468245425188;1.4076600209863588;2.4154696132596687;1.2371960682876357;1.3092039800995026
50;TORTONA;0.06689151208544127;0.3329831932773109;0.08403361344537816;0.23214285714285715;0.3476890756302521;0.0031512605042016808;1.9679869777536625;1.5792349726775956;2.351293103448276;1.4090368608799049;1.4303405572755419
51;WASHINGTON;0.08387738853503185;0.3289036544850498;0.060749881347887995;0.2401518747033697;0.368296155671571;0.0018984337921214998;1.8314509122502172;1.453904873752202;2.198857142857143;1.4762579730687455;1.4888293118856122
52;BANDE NERE;0.10242090242582295;0.2327648330530867;0.09512370886380014;0.23084314196492914;0.4410281047321643;0.00024021138601969732;2.631346113334738;1.9451833937928256;3.38261253309797;1.382198952879581;1.5061208107565724
53;LORENTEGGIO;0.10534278206863604;0.2161753590325019;0.31746031746031744;0.20559334845049132;0.26077097505668934;0.0;2.374769230769231;1.7454981992797118;3.0366161616161618;1.387783115991764;1.5485471296952515
54;MUGGIANO;0.04744916161255797;0.3157894736842105;0.17293233082706766;0.3308270676691729;0.18045112781954886;0.0;0.46794871794871795;0.40181268882175225;0.5426621160409556;1.305;1.0663811563169165
55;BAGGIO;0.12787212787212787;0.17578125;0.15708705357142858;0.3217075892857143;0.34542410714285715;0.0;2.2109152927799887;1.7124183006535947;2.7550535077288942;1.3009626274065684;1.4022892238972642
56;FORZE ARMATE;0.1299697639785189;0.15868055555555555;0.24479166666666666;0.2604166666666667;0.33576388888888886;0.00034722222222222224;2.270249520153551;1.8068181818181819;2.7463035019455253;1.2712564543889846;1.4743499648629657
57;SELINUNTE;0.2575750950985965;0.12306908843999322;0.40281785774910883;0.16618570701069427;0.3079273468002037;0.0;2.0274819649604945;1.3794233289646134;2.7415162454873645;1.18784;1.3847424042272127
58;DE ANGELI - MONTE ROSA;0.0902243841205084;0.35594202898550725;0.06782608695652174;0.19942028985507246;0.37623188405797103;0.0005797101449275362;2.0761358984854685;1.6251012145748989;2.537251655629139;1.5037986704653372;1.519299641862316
59;TRE TORRI;0.09461663947797716;0.5344827586206896;0.04310344827586207;0.1724137931034483;0.25;0.0;1.7150837988826815;1.5833333333333333;1.831578947368421;1.2297297297297298;1.8275862068965518
60;S. SIRO;0.128631058863617;0.3403973509933775;0.09470198675496688;0.21788079470198676;0.34635761589403974;0.0006622516556291391;1.5295081967213116;1.277301927194861;1.7924107142857142;1.4696645253390435;1.5813295615275813
61;QUARTO CAGNINO;0.06904109589041096;0.16507936507936508;0.2777777777777778;0.2761904761904762;0.28095238095238095;0.0;2.126672613737734;1.9521178637200736;2.290657439446367;1.3255620316402998;1.5817351598173517
62;QUINTO ROMANO;0.06459127488352392;0.19344262295081968;0.26229508196721313;0.2786885245901639;0.26557377049180325;0.0;1.9087591240875912;1.6027397260273972;2.2578125;1.463768115942029;1.6111111111111112
63;FIGINO;0.1025;0.23170731707317074;0.2865853658536585;0.18292682926829268;0.29878048780487804;0.0;1.5666666666666667;1.1403508771929824;2.0729166666666665;1.4403669724770642;1.4952830188679245
