codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-BA0016;Biblioteca del Dipartimento di scienze statistiche dell'Università degli studi di Bari;Università degli studi di Bari. Dipartimento di scienze statistiche;Via C. Rosalba 53;Universita' statali;Istituto di insegnamento superiore;;False;Bari;0;41,0942658;16,854582
IT-BA0018;Biblioteca nazionale Sagarriga Visconti-Volpi;Ministero dei beni e delle attività culturali e del turismo;Via Pietro Oreste 45;Direzione Generale Biblioteche e Istituti Culturali;Importante non specializzata;True;False;Bari;1;41,1286954153693;16,8465473465576
IT-BA0020;Biblioteca della Fondazione Gaetano Ricchetti;Fondazione Gaetano Ricchetti;Via Sparano 145;Accademie, associazioni, fondazioni, istituti (pubblici);Importante non specializzata;;False;Bari;2;41,1195145;16,8699317
IT-BA0071;Biblioteca comunale Sabino Loffredo;Comune di Barletta;Piazza Castello;Comune;Importante non specializzata;;False;Bari;3;41,320555;16,2867049
IT-BA0136;Biblioteca provinciale S. Teresa dei Maschi - De Gemmis;Provincia di Bari;Strada Lamberti 4;Provincia;Importante non specializzata;True;False;Bari;4;41,1278219071744;16,8698630865082
IT-BA0141;Biblioteca comunale;Comune di Modugno;Piazza Plebiscito;Comune;Pubblica;;False;Bari;5;41,0837248;16,782918
IT-BA0152;Biblioteca centrale della Facoltà di lingue e letterature straniere dell'Università degli studi di Bari;Università degli studi di Bari. Facoltà di lingue e letterature straniere;Via Garruba 6/b;Universita' statali;Istituto di insegnamento superiore;;False;Bari;6;41,1202546;16,8634292
IT-BA0153;Biblioteca centrale della Facoltà di medicina e chirurgia Claudio Malaguzzi Valeri della Università degli studi di Bari;Università degli studi di Bari. Facoltà di medicina e chirurgia;Piazza Giulio Cesare;Universita' statali;Istituto di insegnamento superiore;;False;Bari;7;41,1120366;16,862822
IT-BA0154;Biblioteca del Dipartimento di anatomia patologica e di genetica. Sezione di anatomia patologica dell'Università degli studi di Bari;Università degli studi di Bari. Dipartimento di anatomia patologica e di genetica;Piazza Giulio Cesare, presso Policlinico;Universita' statali;Istituto di insegnamento superiore;;True;Bari;8;41,112605;16,863381
IT-BA0166;Biblioteca del Dipartimento di biologia e patologia vegetale. Sezione di botanica dell'Università degli studi di Bari;Università degli studi di Bari. Dipartimento di biologia e patolgia vegetale. Sezione di botanica;Via E. Orabona 4;Universita' statali;Istituto di insegnamento superiore;;False;Bari;9;41,1078767;16,8807491
IT-BA0167;Biblioteca dell'Istituto e Museo di zoologia ed anatomia comparata della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Bari;;Via Amendola 165/a;NON SPECIFICATA;NON SPECIFICATA;;;Bari;10;41,1104987;16,8835087
IT-BA0172;Biblioteca dell'Istituto di idraulica e costruzioni idrauliche della Facoltàdi ingegneria del Politecnico di Bari;Politecnico di Bari. Facoltà di ingegneria. Istituto di idraulica e costruzioni idrauliche;Via Re David 200;Universita' statali;Istituto di insegnamento superiore;;;Bari;11;41,1089854;16,8770229
IT-BA0181;Biblioteca centrale della Facoltà di medicina veterinaria dell'Università degli studi di Bari;Università degli studi di Bari. Facoltà di medicina veterinaria;Strada provinciale per Casamassima km 3, presso Tecnopolis;Universita' statali;Istituto di insegnamento superiore;;False;Bari;12;41,04095;16,885866
IT-BA0184;Biblioteca del Dipartimento interateneo di fisica dell'Università degli studi di Bari e del Politecnico di Bari;Università degli studi di Bari e Politecnico di Bari. Dipartimento interateneo di fisica;Via G. Amendola 173;Universita' statali;Istituto di insegnamento superiore;;False;Bari;13;41,1084968;16,8847782
IT-BA0190;Biblioteca del Dipartimento di progettazione e produzione industriale. Sezione di progettazione del Politecnico di Bari;Politecnico di Bari. Dipartimento di progettazione e produzione industriale. Sezione di progettazione;Viale Japigia 182;Universita' statali;Istituto di insegnamento superiore;;False;Bari;14;41,1128616;16,8989954
IT-BA0193;Biblioteca del Dipartimento sui rapporti di lavoro e sulle relazioni industriali dell'Università degli studi di Bari;Università degli studi di Bari. Dipartimento sui rapporti di lavoro e sulle relazioni industriali;Piazza C. Battisti;Universita' statali;Istituto di insegnamento superiore;;False;Bari;15;41,1204916;16,8674357
IT-BA0206;Biblioteca dell'Istituto di latino della Facoltà di scienze della formazione dell'Università degli studi di Bari;Università degli studi di Bari. Facoltà di scienze della formazione. Istituto di latino;Via Q. Sella 268;Universita' statali;Istituto di insegnamento superiore;;False;Bari;16;41,1184253;16,8647703
IT-BA0212;Biblioteca del Dipartimento di linguistica, letteratura e filologia moderna dell'Università degli studi di Bari;Università degli studi di Bari. Dipartimento di linguistica, letteratura e filologia moderna;Via De Rossi 234;Universita' statali;Istituto di insegnamento superiore;;False;Bari;17;41,1224445;16,8654992
IT-BA0218;Biblioteca dell'Istituto Vittorio Emanuele II;Comune di Giovinazzo;Piazza Vittorio Emanuele II;Comune;Pubblica;;True;Bari;18;41,2030723;16,5982345
IT-BA0223;Archivio di Stato di Bari. Sezione di Barletta;;Via Ferdinando d'Aragona 132;NON SPECIFICATA;NON SPECIFICATA;;;Bari;19;41,3179217;16,2852368
IT-BA0230;Biblioteca comunale Giuseppe D'Addosio;Comune di Capurso;Piazza Matteotti;Comune;Pubblica;;False;Bari;20;41,0458379;16,9234458
IT-BA0240;Biblioteca comunale del Centro  Servizi Culturali . CSC;Comune di Canosa di Puglia;Via G. Parini 48;Comune;Pubblica;;False;Bari;21;41,2243062;16,0684322
IT-BA0241;Biblioteca del Centro di socializzazione;Comune di Binetto;Via Palo 2;Comune;Pubblica;;False;Bari;22;41,02523;16,71011
IT-BA0244;Biblioteca del Centro regionale servizi educativi e culturali. CRSEC;Regione Puglia;Via Ariosto 43;Regione;Pubblica;;False;Bari;23;40,7973063;16,9173679
IT-BA0252;Biblioteca di quartiere Vincenzo Zagami;Centro culturale auditorium. Parrocchia di S. Domenico;Via S. Rocco 1;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;False;Bari;24;41,2043675;16,5934531
IT-BA0256;Biblioteca del Centro regionale servizi educativi e culturali. CRSEC BA/9;Regione Puglia;I Traversa Duca d'Aosta 10;Regione;Pubblica;;False;Bari;25;40,9993433;16,8751591
IT-BA0258;Biblioteca del Centro regionale servizi educativi e culturali. CRSEC;Regione Puglia;Via sottoten. Fiorino 24;Regione;Importante non specializzata;;False;Bari;26;41,1626862;16,6645007
IT-BA0279;Biblioteca dell'Istituto di anatomia normale e biologia veterinaria della Facoltà di medicina veterinaria dell'Università degli studi di Bari;Università degli studi di Bari. Facoltà di medicina veterinaria. Istituto di anatomia normale e biologia veterinaria;Viale Japigia 88;Universita' statali;Istituto di insegnamento superiore;;False;Bari;27;41,1151571;16,8930359
IT-BA0285;Biblioteca del Dipartimento di studi classici e cristiani dell'Università degli studi di Bari;Università degli studi di Bari. Dipartimento di studi classici e cristiani;Strada Torretta (Borgo antico);Universita' statali;Istituto di insegnamento superiore;;False;Bari;28;41,12734;16,87049
