CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat
12660;0;Via Alessandro Manzoni, 183;CALO' SNC DOTTORI COSIMO E GENOVEFFA;5444550726;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.037078974;16.9907575479;1;Via Alessandro Manzoni, 183, 70123, BARI;Via Alessandro Manzoni 183, 70123, Bari;16.861350243705314;41.11934343143676
12661;0;Via Melo, 180;GRASSO CATERINA;5447960724;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Melo, 180, 70121, BARI;70121;16.87550340200005;41.12162500000005
12662;0;Corso Sidney Sonnino, 27/A;AMBROSI SNC;4923570727;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1194910356;16.8818098175;1;Corso Sidney Sonnino, 27/A, 70121, BARI;Corso Sidney Sonnino 27A, 70121, Bari;16.877648160396042;41.121109236193654
12663;0;Via Giulio Petroni, 85;STANZIONE MASSIMO;2971140724;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0897321;16.86584805;1;Via Giulio Petroni, 85, 70124, BARI;Via Giulio Petroni 85, 70124, Bari;16.867525495960628;41.105450430751915
12664;0;Via Visconti Sagarriga, 102;ANTUOFERMO MICHELE;6499450721;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Visconti Sagarriga, 102, 70123, BARI;Via Sagarriga Visconti 102, 70122, Bari;16.863272586040747;41.12238896502973
12665;0;Via Francesco Lattanzio, 10-10A-10B;DIVINCENZO FILOMENA;4710480726;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0485148;16.9220927;1;Via Francesco Lattanzio, 10-10A-10B, 70126, BARI;Via Francesco Lattanzio 10, 70126, Bari;16.876787992786653;41.117139984736546
12666;0;Corso Vittorio Emanuele II, 149;BOCCUZZI GRAZIA;4684410725;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.12586785;16.8666839;1;Corso Vittorio Emanuele II, 149, 70122, BARI;Corso Vittorio Emanuele II 149, 70122, Bari;16.86546846572222;41.12583143825373
12667;0;Via Dante Alighieri, 58;FULLONE FRANCESCO;5205260721;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.3096631612;16.2850539081;1;Via Dante Alighieri, 58, 70121, BARI;Via Dante Alighieri 58, 70121, Bari;16.87004170191585;41.122051554532916
12668;0;Viale Japigia, 38/B;RAGONE SNC DI ANGELO E VITO RAGONE;7394500727;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.2301071981;16.2870857045;1;Viale Japigia, 38/B, 70126, BARI;Viale Japigia 38B, 70126, Bari;16.890078258670464;41.11631135581969
12669;0;Corso Sidney Sonnino, 38;CAIVANO TERESA;4960140723;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1194910356;16.8818098175;1;Corso Sidney Sonnino, 38, 70121, BARI;Corso Sidney Sonnino 38, 70121, Bari;16.8791111976167;41.12053396947311
12670;0;Viale Antonio Salandra, 23/B;CALABRESE DI FRANCESCO E LUCIANO BABIS COROPULIS SNC;6239960724;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1127669877;16.8632232369;1;Viale Antonio Salandra, 23/B, 70124, BARI;Viale Antonio Salandra 23B, 70124, Bari;16.86364430529751;41.11384762975359
