CODSCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
BAEE818013;201617;SUD;70100,0;A662;BAIC818001;"""MASSARI"" - ""GALILEI""";"""MONTELLO""";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC818001@istruzione.it;Non Disponibile;VIA DE GEMMIS;BARI;PUGLIA;SI;www.smsmassarigalileibari.gov.it;True;16,8659174;41,112509499999994;SCUOLA PRIMARIA;198
BAMM88601L;201617;SUD;70126,0;A662;BAIC88600G;I.C. JAPIGIA 2 - TORRE A MARE;"""RITA LEVI-MONTALCINI""";NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC88600G@istruzione.it;Non Disponibile;LARGO G. LEOPARDI N. 3;BARI;PUGLIA;SI;www.icjapigiaII-torreamare.gov.it;True;16,999013100000003;41,0866125;SCUOLA SECONDARIA I GRADO;165
BAMM02200N;201617;SUD;70125,0;A662;BAMM02200N;MICHELANGELO;MICHELANGELO;NORMALE;BARI;SCUOLA PRIMO GRADO;SI;Non Disponibile;BAMM02200N@istruzione.it;bamm02200n@pec.istruzione.it;VIA GEN.LE N. STRAZIOTA 1;BARI;PUGLIA;SI;www.scuolamichelangelo.it;True;16,8795095;41,1007047;SCUOLA SECONDARIA I GRADO;675
BAEE84301Q;201617;SUD;70132,0;A662;BAIC84300N;"""B. GRIMALDI"" - S.M. ""LOMBARDI""";BIAGIO GRIMALDI - 19 CD.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC84300N@istruzione.it;Non Disponibile;VIA CACUDI N. 1;BARI;PUGLIA;SI;www.icgrimaldilombardi.gov.it;True;16,7951;41,12818;SCUOLA PRIMARIA;443
BAMM004004;201617;SUD;70126,0;A662;BAMM004004;S.M.S. ANNESSA CONVITTO CIRILLO;S.M.S. ANNESSA CONVITTO CIRILLO;ANNESSO A CONVITTO;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAMM004004@istruzione.it;Non Disponibile;VIA CIRILLO 33;BARI;PUGLIA;SI;http//www.convittocirillo.it;True;16,8781784;41,11337950000001;SCUOLA SECONDARIA I GRADO;258
BAEE84303T;201617;SUD;;A662;BAIC84300N;"""B. GRIMALDI"" - S.M. ""LOMBARDI""";"PLESSO ""LOMBARDI""";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC84300N@istruzione.it;Non Disponibile;VIA LOMBARDIA 2;BARI;PUGLIA;SI;www.icgrimaldilombardi.gov.it;True;16,7892535;41,1199451;SCUOLA PRIMARIA;123
BAEE01404X;201617;SUD;70125,0;A662;BAEE01400Q;C.D. 14 RE DAVID - BARI;14 C.D. RE DAVID - GANDHI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAEE01400Q@istruzione.it;Non Disponibile;VIA CELSO ULPIANI 1;BARI;PUGLIA;SI;www.scuolaredavid.gov.it;True;16,8771181;41,1100584;SCUOLA PRIMARIA;299
BAMM889014;201617;SUD;70128,0;A662;BAIC889003;"I. C. ""UMBERTO FRACCACRETA""";""" U. FRACCACRETA""";NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC889003@istruzione.it;Non Disponibile;VIA VOLPE 16;BARI;PUGLIA;SI;www.umbertofraccacretapalese.gov.it;True;16,7631948;41,1554078;SCUOLA SECONDARIA I GRADO;596
BAEE889015;201617;SUD;70128,0;A662;BAIC889003;"I. C. ""UMBERTO FRACCACRETA""";"""VIA VITTORIO VENETO 50""";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC889003@istruzione.it;Non Disponibile;VIA VITTORIO VENETO 50;BARI;PUGLIA;SI;www.ingannamorte.eu;True;16,7655302;41,1556089;SCUOLA PRIMARIA;32
BAEE812014;201617;SUD;70123,0;A662;BAIC812002;"""DON LORENZO MILANI""";"""VITO DE FANO"" - 25 C.D.";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC812002@istruzione.it;Non Disponibile;PROL.TO VIA DON C. GNOCCHI;BARI;PUGLIA;SI;donmilanibari.it;True;16,7856334;41,129751899999995;SCUOLA PRIMARIA;360
BAEE81902X;201617;SUD;70123,0;A662;BAIC81900R;CLEMENTINA PERONE - LEVI;"""CARLO COLLODI""";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC81900R@istruzione.it;Non Disponibile;VIA BRIGATA REGINA 27;BARI;PUGLIA;SI;icperonelevi.it;True;16,8519796;41,123883500000005;SCUOLA PRIMARIA;421
BAEE017018;201617;SUD;70124,0;A662;BAEE017007;"17 C.D.""POGGIOFRANCO"" - BARI";VIA TAURO - 17 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAEE017007@istruzione.it;Non Disponibile;VIA GIACOMO TAURO 2;BARI;PUGLIA;SI;www.17circolodidatticopoggiofrancobari.gov.it;True;16,86136;41,10001;SCUOLA PRIMARIA;561
BAMM847012;201617;SUD;70122,0;A662;BAIC847001;"I.C. ""MAZZINI - MODUGNO""";MODUGNO;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC847001@istruzione.it;Non Disponibile;VIA FORNARI 6;BARI;PUGLIA;SI;www.icmazzinimodugno.gov.it;True;16,8662803;41,1189135;SCUOLA SECONDARIA I GRADO;416
BAMM80701G;201617;SUD;70123,0;A662;BAIC80700E;"""S.G. BOSCO - MELO DA BARI""";"""QUASIMODO"" - ""MELO DA BARI""";NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC80700E@istruzione.it;Non Disponibile;VIA MAGGIORE TURITTO 13;BARI;PUGLIA;SI;WWW.COMPRENSIVOBOSCOMELODABARI.IT;True;16,856022;41,124534000000004;SCUOLA SECONDARIA I GRADO;135
BAEE81901V;201617;SUD;70123,0;A662;BAIC81900R;CLEMENTINA PERONE - LEVI;CLEMENTINA PERONE - 24 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC81900R@istruzione.it;Non Disponibile;VIA NAZARIANTZ 3/5;BARI;PUGLIA;SI;icperonelevi.gov.it;True;16,84799;41,12259;SCUOLA PRIMARIA;187
BAMM03600G;201617;SUD;70124,0;A662;BAMM03600G;FIORE;FIORE;NORMALE;BARI;SCUOLA PRIMO GRADO;SI;Non Disponibile;BAMM03600G@istruzione.it;bamm03600g@pec.istruzione.it;VIA MARTIN LUTHER KING 38/40;BARI;PUGLIA;SI;www.scuolafiorebari.it;True;16,8624457;41,0999691;SCUOLA SECONDARIA I GRADO;694
BAEE847013;201617;SUD;70100,0;A662;BAIC847001;"I.C. ""MAZZINI - MODUGNO""";"""G. MAZZINI"" - 3 C.D. BARI";NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC847001@istruzione.it;Non Disponibile;VIA SUPPA 7;BARI;PUGLIA;SI;www.icmazzinimodugno.gov.it;True;16,8674599;41,1188736;SCUOLA PRIMARIA;610
BAEE01401R;201617;SUD;70125,0;A662;BAEE01400Q;C.D. 14 RE DAVID - BARI;14 C.D. RE DAVID - IQBAL;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAEE01400Q@istruzione.it;Non Disponibile;VIA OMODEO 27;BARI;PUGLIA;SI;www.scuolaredavid.gov.it;True;16,882055899999997;41,105827000000005;SCUOLA PRIMARIA;586
BAEE81602C;201617;SUD;70123,0;A662;BAIC816009;DUSE;DUSE PRIMARIA S.GIROLAMO;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC816009@istruzione.it;Non Disponibile;STR. S. GIROLAMO SN;BARI;PUGLIA;SI;www.scuolamediaduse.it;True;16,819474399999997;41,13638419999999;SCUOLA PRIMARIA;289
BAEE01707E;201617;SUD;70124,0;A662;BAEE017007;"17 C.D.""POGGIOFRANCO"" - BARI";VIA CARRANTE - 17 CD.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAEE017007@istruzione.it;Non Disponibile;VIA A. CARRANTE 10;BARI;PUGLIA;SI;www.circolopoggiofrancobari.it;True;16,865645100000002;41,094738299999996;SCUOLA PRIMARIA;327
BAEE84201X;201617;SUD;70127,0;A662;BAIC84200T;I.C. ARISTIDE GABELLI;BONGHI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC84200T@istruzione.it;Non Disponibile;VIA LUCCA;BARI;PUGLIA;SI;www.comprensivogabellibari.gov.it;True;16,744318099999997;41,161631299999996;SCUOLA PRIMARIA;588
BAEE817017;201617;SUD;70100,0;A662;BAIC817005;DE AMICIS - LATERZA;E.DE AMICIS - 20 CD.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC817005@istruzione.it;Non Disponibile;VIA RE DAVID 179;BARI;PUGLIA;SI;www.icdeamicislaterza.gov.it;True;16,8760573;41,1117016;SCUOLA PRIMARIA;198
BAMM803018;201617;SUD;70122,0;A662;BAIC803007;ICS.UMBERTO I - S.M. S. NICOLA;"""S. NICOLA""";NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC803007@istruzione.it;Non Disponibile;LARGO URBANO II 1;BARI;PUGLIA;SI;www.umbertoibari.gov.it;True;16,8704486;41,1309318;SCUOLA SECONDARIA I GRADO;39
BAEE842021;201617;SUD;70127,0;A662;BAIC84200T;I.C. ARISTIDE GABELLI;G. FALCONE- I. C. GABELLI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC84200T@istruzione.it;Non Disponibile;VIA DELLE AZALEE;BARI;PUGLIA;SI;www.comprensivogabellibari.gov.it;True;16,738782500000003;41,1588328;SCUOLA PRIMARIA;77
BAEE817028;201617;SUD;70100,0;A662;BAIC817005;DE AMICIS - LATERZA;C.DEL PRETE - 20 CD BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC817005@istruzione.it;Non Disponibile;CORSO BENEDETTO CROCE 96;BARI;PUGLIA;SI;www.icdeamicislaterza.gov.it;True;16,872199399999996;41,1113363;SCUOLA PRIMARIA;159
BAMM81901T;201617;SUD;70123,0;A662;BAIC81900R;CLEMENTINA PERONE - LEVI;CARLO LEVI;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC81900R@istruzione.it;Non Disponibile;VIA BABUDRI 45;BARI;PUGLIA;SI;icperonelevi.gov.it;True;16,8508927;41,1198055;SCUOLA SECONDARIA I GRADO;326
BAEE803019;201617;SUD;70122,0;A662;BAIC803007;ICS.UMBERTO I - S.M. S. NICOLA;CORRIDONI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC803007@istruzione.it;Non Disponibile;LARGO S.SABINO 1;BARI;PUGLIA;SI;www.umbertoibari.gov.it;True;16,869453699999998;41,128245899999996;SCUOLA PRIMARIA;92
BAEE80302A;201617;SUD;70123,0;A662;BAIC803007;ICS.UMBERTO I - S.M. S. NICOLA;N.PICCINNI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC803007@istruzione.it;Non Disponibile;VIA G.CARDUCCI 10;BARI;PUGLIA;SI;www.umberoibari.gov.it;True;16,8638236;41,12703270000001;SCUOLA PRIMARIA;576
BAEE80702N;201617;SUD;70100,0;A662;BAIC80700E;"""S.G. BOSCO - MELO DA BARI""";S.G.BOSCO - 6 C.D. BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC80700E@istruzione.it;Non Disponibile;P.ZZA REDENTORE 185;BARI;PUGLIA;SI;WWW.COMPRENSIVOBOSCOMELODABARI.IT;True;16,855979100000003;41,1189796;SCUOLA PRIMARIA;284
BAEE81601B;201617;SUD;70132,0;A662;BAIC816009;DUSE;DUSE PRIMARIA;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC816009@istruzione.it;Non Disponibile;STRADA SAN GIOLAMO 38;BARI;PUGLIA;SI;scuolamediaduse.it;True;16,8163178;41,136550299999996;SCUOLA PRIMARIA;226
BAEE842032;201617;SUD;70127,0;A662;BAIC84200T;I.C. ARISTIDE GABELLI;IQBAL MASIH - I.C. GABELLI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC84200T@istruzione.it;Non Disponibile;PIAZZETTA ELEONORA;BARI;PUGLIA;SI;www.comprensivogabellibari.gov.it;True;16,7393801;41,1482856;SCUOLA PRIMARIA;97
BAMM81601A;201617;SUD;70123,0;A662;BAIC816009;DUSE;DUSE SECONDARIA PRIMO GRADO;NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC816009@istruzione.it;Non Disponibile;STRADA S.GIROLAMO 38;BARI;PUGLIA;SI;www.scuolamediaduse.it;True;16,8163178;41,136550299999996;SCUOLA SECONDARIA I GRADO;346
BAEE026013;201617;SUD;70100,0;A662;BAEE026002;CD MONTE SAN MICHELE;MONTE S.MICHELE - 26 C.D.BARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAEE026002@istruzione.it;Non Disponibile;C.SO A.DE GASPERI 345;BARI;PUGLIA;SI;http//www.26circolodidatticobari.it/;True;16,8714778;41,1041428;SCUOLA PRIMARIA;325
BAMM812013;201617;SUD;70123,0;A662;BAIC812002;"""DON LORENZO MILANI""";"""AZZARITA-DE FILIPPO-UNGARETTI""";NORMALE;BARI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BAIC812002@istruzione.it;Non Disponibile;VIA DON CARLO GNOCCHI 18;BARI;PUGLIA;SI;www.donmilanibari.it;True;16,7833538;41,1294398;SCUOLA SECONDARIA I GRADO;276
BAEE88601N;201617;SUD;70126,0;A662;BAIC88600G;I.C. JAPIGIA 2 - TORRE A MARE;GIANNI RODARI;NORMALE;BARI;SCUOLA PRIMARIA;NO;Non Disponibile;BAIC88600G@istruzione.it;Non Disponibile;VIA ATTILIO CORRUBIA N.1;BARI;PUGLIA;SI;www.icjapigiaII-torreamare.gov.it;True;16,898757999999997;41,108149;SCUOLA PRIMARIA;309
