,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
0,IT-AG0001,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Regione siciliana. Soprintendenza per i beni culturali e ambientali,"[37.3361677, 13.5880717]",Contrada S. Nicola,Regione,Specializzata,,True
1,IT-AG0005,Biblioteca dell'Archivio di Stato di Agrigento,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Agrigento,"[37.3221644312329, 13.5886026454773]",Via Mazzini 185,Direzione generale Archivi,Specializzata,,True
2,IT-AG0006,Biblioteca del Seminario vescovile,Seminario vescovile Molfetta,"[37.3137125, 13.5749656]",Piazza don Minzoni,Enti ecclesiastici,Specializzata,False,False
3,IT-AG0007,Biblioteca Comunale Franco La Rocca,Comune di Agrigento,"[37.3096114156152, 13.5861396789551]",Piazzale Aldo Moro n. 3,Comune,Importante non specializzata,True,False
4,IT-AG0008,Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti,Comune di Agrigento,"[37.4050904, 13.5291051]",Via Belvedere 127,Comune,Pubblica,,False
5,IT-AG0009,Biblioteca popolare San Vito,,"[37.3105394, 13.5869401]",Via San Vito 6,NON SPECIFICATA,NON SPECIFICATA,,
6,IT-AG0010,Biblioteca Comunale,Comune d'Aragona,"[37.4800295, 13.5458603]",Piazza Umberto  I ,Comune - Istituzione comunale,Pubblica,,False
7,IT-AG0011,Biblioteca comunale,Comune di Bivona,"[37.6184977, 13.4405434]",Piazza G. Marconi 43,Comune,Pubblica,,False
8,IT-AG0012,Biblioteca comunale,Comune di Caltabellotta,"[37.5768578, 13.2157946]",Piazza Umberto I,Comune,Pubblica,,False
9,IT-AG0014,Biblioteca Comunale,Comune di Cammarata,"[37.6308269, 13.6371923]",Via dei Giardini,Comune,Pubblica,,False
10,IT-AG0016,Biblioteca comunale,Comune di Castrofilippo,"[37.350753, 13.7501912]",Via Michelangelo n. 9,Comune,Pubblica,,False
11,IT-AG0017,Biblioteca comunale,Comune di Cattolica Eraclea,"[37.438755, 13.3952266]",Via collegio,Comune,Pubblica,,False
12,IT-AG0018,Biblioteca comunale Alessio Di Giovanni,Comune di Cianciana,"[37.5264394, 13.4336571]",Corso Vittorio Emanuele,Comune,Pubblica,,False
13,IT-AG0019,Biblioteca Comunale,Comune di Comitini,"[37.4086694, 13.6436159]",Piazza G. Bellacera 20,Comune,Pubblica,,False
14,IT-AG0020,Biblioteca della Parrocchia della Beata Maria Vergine dell'Itria,,"[37.3178646, 13.6639854]",Via Beneficenza Mendola,NON SPECIFICATA,NON SPECIFICATA,,
15,IT-AG0021,Biblioteca del Circolo di cultura il Gattopardo,,"[37.3211216, 13.6624159]",Via Amendola 4,NON SPECIFICATA,NON SPECIFICATA,,
16,IT-AG0022,Biblioteca Comunale Barone Antonio Mendola,Comune di Favara,"[37.3147813, 13.6604992]",Piazza Cavour 56,Comune,Pubblica,,False
17,IT-AG0024,Biblioteca comunale Martin Luther King,Comune di Grotte,"[37.4034467, 13.7023793]",Via Fonte 3,Comune,Importante non specializzata,,False
18,IT-AG0025,Biblioteca comunale,Comune di Joppolo Giancaxio,"[37.3868747, 13.5551581]",Via Torino,Comune,Pubblica,,False
