codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-FI0040;Biblioteca dell'Orticoltura;Comune di Firenze;Via Vittorio Emanuele II 4 - Via Bolognese 17;Comune;Pubblica;True;False;Firenze;0;43,7861957;11,2609911
IT-FI0041;Biblioteca provinciale dei Cappuccini;Provincia Toscana dei Frati Minori Cappuccini;Via dei Cappuccini, 1;Enti ecclesiastici;Importante non specializzata;True;False;Firenze;1;43,794902;11,250299
IT-FI0043;Biblioteca Boffito del Collegio alla Querce;Barnabiti. Collegio alla Querce di Firenze;Via della Piazzuola 44;Enti ecclesiastici;Specializzata;;True;Firenze;2;43,7888388;11,2767552
IT-FI0045;Biblioteca dell'Istituto agronomico per l'oltremare;Ministero degli affari esteri. Istituto agronomico per l'oltremare;Via A. Cocchi 4;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;Firenze;3;43,7854026;11,2828069
IT-FI0046;Biblioteca Casa Buonarroti;Ente Casa Buonarroti;Via Ghibellina 70;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;4;43,769933;11,263509
IT-FI0047;Biblioteca dell'Associazione degli industriali della Provincia di Firenze;Associazione degli industriali della Provincia di Firenze;Via Valfonda 9;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;5;43,7779006;11,2488969
IT-FI0048;Biblioteca dell'Archivio di Stato di Firenze;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Firenze;Viale Giovine Italia 6;Direzione generale Archivi;Specializzata;;True;Firenze;6;43,7690505364666;11,2699423313522
IT-FI0049;Biblioteca dell'Accademia toscana di scienze e lettere La Colombaria;Accademia toscana di scienze e lettere La Colombaria;Via S. Egidio 23;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;7;43,772289;11,260868
IT-FI0050;Biblioteca dell'Accademia italiana di scienze forestali;Accademia italiana di scienze forestali;Piazza T.A. Edison 11;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;8;43,7872009;11,2837918
IT-FI0051;Biblioteca dell'Accademia delle arti del disegno;Accademia delle arti del disegno di Firenze;Via Orsanmichele 4;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;9;43,7708613;11,2552306
IT-FI0052;Biblioteca dell'Accademia dei Georgofili;Accademia dei Georgofili;Piazzale degli Uffizi;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;10;43,76799;11,25535
IT-FI0053;Biblioteca dell'Accademia di belle arti;Ministero dell'istruzione, dell'università e della ricerca;Via Ricasoli 66;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;Firenze;11;43,777259;11,259084
IT-FI0054;Biblioteca dell'Accademia della Crusca;Accademia della Crusca;Via di Castello 46;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;12;43,81958;11,2283
IT-FI0055;Biblioteca dell'Abbazia di S. Trinità;Congregazione Vallombrosana. Diocesi di Firenze;Via Parione 5;Enti ecclesiastici;Importante non specializzata;;True;Firenze;13;43,7707333;11,2497293
IT-FI0056;Biblioteca del Seminario arcivescovile maggiore;Seminario Arcivescovile Fiorentino;Lungarno Soderini, 19;Enti ecclesiastici;Importante non specializzata;False;False;Firenze;14;43,770697;11,2439183
IT-FI0058;Biblioteca del Gabinetto scientifico-letterario Giovan Pietro Vieusseux;Gabinetto scientifico-letterario Giovan Pietro Vieusseux;Piazza Strozzi;Accademie, associazioni, fondazioni, istituti (pubblici);Importante non specializzata;;False;Firenze;15;43,7710706;11,2521786
IT-FI0059;Biblioteca del Convento di S. Marco;Domenicani. Convento S. Marco di Firenze;Via Cavour 56;Enti ecclesiastici;Specializzata;;True;Firenze;16;43,7772612;11,2577105
IT-FI0060;Biblioteca del Consorzio agrario provinciale;;Piazza della Signoria 10;Consorzio e/o associazioni di regioni, provincie, comuni e comunità montane;NON SPECIFICATA;;;Firenze;17;43,7696509;11,2565578
IT-FI0061;Biblioteca dell'Istituto nazionale di studi etruschi ed italici;Istituto nazionale di studi etruschi ed italici;Via Ricasoli 31;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;18;43,7750817;11,2572645
IT-FI0076;Biblioteca dell'Istituto di diritto agrario internazionale e comparato;Istituto di diritto agrario internazionale e comparato;Viale G. Matteotti 42;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;19;43,7830788;11,2628745
IT-FI0092;Biblioteca dello Stabilimento chimico farmaceutico militare;Ministero della difesa;Via R. Giuliani 201;Presidenza del consiglio dei ministri e ministeri;Specializzata;;False;Firenze;20;43,8070455;11,2338406
IT-FI0094;Biblioteca Riccardiana;Ministero dei beni e delle attività culturali e del turismo;Via de' Ginori 10;Direzione Generale Biblioteche e Istituti Culturali;Specializzata;True;False;Firenze;21;43,7751374;11,2551879
IT-FI0095;Biblioteca provinciale dei Frati minori;Provincia toscana di San Francesco Stimmatizzato;Via Antonio Giacomini, 3;Enti ecclesiastici;Importante non specializzata;True;False;Firenze;22;43,7831438;11,266231
IT-FI0096;Biblioteca Pietro Thouar;Comune di Firenze;Piazza Torquato Tasso 3;Comune;Pubblica;;False;Firenze;23;43,7676428803574;11,2402967220901
IT-FI0097;Biblioteca pedagogica nazionale;Ministero dell'istruzione, dell'università e della ricerca. Istituto Nazionale di Documentazione per l’Innovazione e la Ricerca Educativa - Indire;Via Michelangelo Buonarroti 10;Presidenza del consiglio dei ministri e ministeri;Specializzata;;False;Firenze;24;43,770643;11,2642688999999
IT-FI0098;Biblioteca nazionale centrale;Ministero dei beni e delle attività culturali e del turismo. Biblioteca nazionale centrale di Firenze;Piazza Cavalleggeri 1;Direzione Generale Biblioteche e Istituti Culturali;Nazionale;;False;Firenze;25;43,7668975;11,2622704
IT-FI0101;Biblioteca Marucelliana;Ministero dei beni e delle attività culturali e del turismo;Via Cavour 43-47;Direzione Generale Biblioteche e Istituti Culturali;Importante non specializzata;;False;Firenze;26;43,7761331;11,2568357
IT-FI0103;Biblioteca Filippo Buonarroti;Comune di Firenze;Viale Guidoni 188;Comune;Pubblica;;False;Firenze;27;43,7981161;11,2162941
IT-FI0104;Biblioteca delle Oblate;Comune di Firenze;Via dell'Oriuolo 24;Comune;Pubblica;True;False;Firenze;28;43,7722619527597;11,2598722042297
IT-FI0106;Biblioteca e Archivio del Risorgimento;Società toscana per la storia del Risorgimento;Via S. Egidio 21;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;29;43,77303;11,259548
IT-FI0107;Biblioteca domenicana di Santa Maria Novella Jacopo Passavanti;Provincia Romana di Santa Caterina da Siena, Ordine dei Frati Predicatori (Domenicani);Piazza della Stazione, 4/A;Enti ecclesiastici;Specializzata;True;False;Firenze;30;43,7728062;11,2494697
IT-FI0108;Biblioteca di S. Miniato al Monte;Benedettini olivetani. Abbazia di S. Miniato al Monte di Firenze;Via Monte alle Croci 34;Enti ecclesiastici;Specializzata;;True;Firenze;31;43,760159;11,2674088
IT-FI0109;Biblioteca di Santa Croce ;Frati minori Conventuali. Convento di Santa Croce;Piazza S. Croce 16;Enti ecclesiastici;Specializzata;;False;Firenze;32;43,768643;11,262185
IT-FI0111;Biblioteca della Soprintendenza Archivistica e bibliografica della Toscana;Ministero dei beni e delle attività culturali e del turismo. Soprintendenza Archivistica e bibliografica della Toscana;Via de' Ginori, 7;Direzione generale Archivi;Specializzata;False;False;Firenze;33;43,7761802;11,2555642
IT-FI0114;Biblioteca della Società Leonardo da Vinci;Società Leonardo da Vinci;Via Lungarno Corsini 10;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;34;0,0;0,0
IT-FI0115;Biblioteca della Società dantesca italiana;Società dantesca italiana;Via dell' Arte della Lana 1;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;35;43,770291;11,254696
IT-FI0116;Biblioteca Club alpino italiano - CAI. Sezione fiorentina;Club alpino italiano - CAI;Via  dei Biffi 1;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;36;43,7743493;11,2566306
