CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat
7507;0;Viale Gramsci, 63;Farmacia Fedema Snc;5535870488;50121;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/01/2018;-;Ordinaria;1;43.5344311478;10.9513557769;1;Viale Gramsci, 63, 50121, FIRENZE;Viale Antonio Gramsci 63, 50121, Firenze;11.26968590339903;43.77559067332221
8140;0;Via Senese, 137/r;SAN LEONE - FARMACIE SAN GAGGIO SNC;5877200484;50124;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/03/2013;-;Ordinaria;1;43.7498576;11.2357645;1;Via Senese, 137/r, 50124, FIRENZE;Via Senese 137, 50124, Firenze;11.233212052246865;43.74838939803278
8141;0;Via Senese, 206/r;DEL GALLUZZO SAS DEL DR. ENRICO ARA E C. SAS;5766830482;50124;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/01/2008;-;Ordinaria;1;43.77041;11.2550368;1;Via Senese, 206/r, 50124, FIRENZE;Via Senese 206, 50124, Firenze;11.224700026083482;43.736111161809674
8142;0;Piazza S. Jacopino, 15r;FARMACIE BIGAGLI E S. JACOPINO SAS DI RICCARDO LANINI;6555340485;50144;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/12/2015;-;Ordinaria;1;43.77041;11.2550368;1;Piazza S. Jacopino, 15r, 50144, FIRENZE;Piazza di San Iacopino 15R, 50144, Firenze;11.239872743124089;43.784019542137216
8143;0;VIA DEL GIGNORO, 19/23;DEL GUARLONE SNC;6064060483;50135;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/03/2013;-;Ordinaria;1;43.7707394405;11.3021170346;1;VIA DEL GIGNORO, 19/23, 50135, FIRENZE;Via del Gignoro 19, 50135, Firenze;11.297945683278446;43.769923527869274
8144;0;Via Bolognese, 1/r;ROSSINI E PONTE ROSSO SNC;6435240483;50139;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/01/2005;-;Ordinaria;1;43.7903280677;11.2620290662;1;Via Bolognese, 1/r, 50139, FIRENZE;Via Bolognese 1, 50139, Firenze;11.262362757833746;43.78662615015293
8145;0;Via dei Ginori, 65/r;SELVA E FRANCHI SAS DELLA DR.SSA AVESTI IRENE;4700790480;50129;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/03/2013;-;Ordinaria;1;43.77041;11.2550368;1;Via dei Ginori, 65/r, 50129, FIRENZE;Via dei Ginori 65, 50123, Firenze;11.256098018870127;43.7771146588955
8146;0;Via Pisana, 195/r;DI LEGNAIA SAS - DR. ENRICO BERTOLOTTI E C.;5088560486;50143;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/05/2009;-;Ordinaria;1;43.77041;11.2550368;1;Via Pisana, 195/r, 50143, FIRENZE;Via Pisana 195, 50143, Firenze;11.22035489578164;43.77061193366612
8147;0;Via Martelli, 36 r;ASTRUA;5480500486;50129;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/05/2009;-;Ordinaria;1;43.77041;11.2550368;1;Via Martelli, 36 r, 50129, FIRENZE;Via dei Martelli 36, 50122, Firenze;11.25573342936695;43.7744138731606
8148;0;Via Ghiberti, 8 R;FARMACIE BIGAGLI E S. JACOPINO SAS DI RICCARDO LANINI;4467850485;50122;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/12/2015;-;Ordinaria;1;43.77041;11.2550368;1;Via Ghiberti, 8 R, 50122, FIRENZE;Piazza Lorenzo Ghiberti 8, 50122, Firenze;11.266583217871789;43.77017190813089
8149;0;Piazza della Crezia, 11;LE FONTICINE;3158080121;50142;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/09/2011;-;Ordinaria;1;43.77041;11.2550368;1;Piazza della Crezia, 11, 50142, FIRENZE;Piazza della Crezia 11, 50142, Firenze;11.168784000000016;43.781769
8150;0;Via Quintino Sella, 31/b;BOSCARINO DEL DR. GABRIELE FORMENTI;5618610488;50136;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/05/2009;-;Ordinaria;1;43.7667209596;11.2798175199;1;Via Quintino Sella, 31/b, 50136, FIRENZE;Via Quintino Sella 31B, 50136, Firenze;11.281050031363604;43.7668444962491
8151;0;Via Ponte di Mezzo, 42/r;GASTI SNC;5171710485;50127;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/01/2005;-;Ordinaria;1;43.77041;11.2550368;1;Via Ponte di Mezzo, 42/r, 50127, FIRENZE;Via del Ponte di Mezzo 42, 50127, Firenze;11.236252122540227;43.792578534277794
8152;0;Via Vincenzo Gioberti, 117;NINCI DEL DR. PAOLO BRESCIANI E C. SNC;2166930483;50121;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/03/2013;-;Ordinaria;1;43.77041;11.2550368;1;Via Vincenzo Gioberti, 117, 50121, FIRENZE;Via Vincenzo Gioberti 117, 50121, Firenze;11.273384037884485;43.77043265667379
8153;0;Via Vittorio Locchi, 100;DELLE PANCHE;494440480;50141;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/01/2005;-;Ordinaria;1;43.8052672303;11.237380442;1;Via Vittorio Locchi, 100, 50141, FIRENZE;Via Vittorio Locchi 100, 50141, Firenze;11.24020726672055;43.804356580068124
8154;0;Via XXVII Aprile, 23/r;BRIZIO MAZZEI SAS;872030481;50129;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/05/2016;-;Ordinaria;1;43.77041;11.2550368;1;Via XXVII Aprile, 23/r, 50129, FIRENZE;Via 27 Aprile 23, 50129, Firenze;11.255159485490866;43.77930814195809
8155;0;Piazza Piattellina, 5/r;DEL CARMINE;4933140487;50125;48017;FIRENZE;-;48;FI;FIRENZE;90;TOSCANA;01/05/2009;-;Ordinaria;1;43.77041;11.2550368;1;Piazza Piattellina, 5/r, 50125, FIRENZE;Piazza Piattellina 5, 50124, Firenze;11.242890717871807;43.76853691534425
