CODSCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
FIEE85102R;201617;CENTRO;50136,0;D612;FIIC85100N;DON MILANI;G. E. NUCCIO;NORMALE;FIRENZE;SCUOLA PRIMARIA;NO;Non Disponibile;FIIC85100N@istruzione.it;Non Disponibile;VIA RIPA 14;FIRENZE;TOSCANA;SI;www.icdonmilani.gov.it;True;11,309239999999999;43,76742;SCUOLA PRIMARIA;104
FIEE85101Q;201617;CENTRO;50135,0;D612;FIIC85100N;DON MILANI;B.DA ROVEZZANO;NORMALE;FIRENZE;SCUOLA PRIMARIA;NO;Non Disponibile;FIIC85100N@istruzione.it;Non Disponibile;VIA DEL GUARLONE 54;FIRENZE;TOSCANA;SI;www.icdonmilani.gov.it;True;11,3023344;43,7709901;SCUOLA PRIMARIA;138
FIMM84801V;201617;CENTRO;50129,0;D612;FIIC84800T;PIERACCINI;PIERACCINI;NORMALE;FIRENZE;SCUOLA PRIMO GRADO;NO;Non Disponibile;FIIC84800T@istruzione.it;Non Disponibile;VIALE LAVAGNINI 35;FIRENZE;TOSCANA;SI;www.icpieraccini.net;True;11,254760300000001;43,7821615;SCUOLA SECONDARIA I GRADO;481
FIEE84901Q;201617;CENTRO;50136,0;D612;FIIC84900N;MASACCIO;GIOTTO;NORMALE;FIRENZE;SCUOLA PRIMARIA;NO;Non Disponibile;FIIC84900N@istruzione.it;Non Disponibile;VIA L. LANDUCCI 50;FIRENZE;TOSCANA;SI;www.comprensivomasaccio.gov.it;True;11,277803800000001;43,772624;SCUOLA PRIMARIA;415
FIEE85802G;201617;CENTRO;50141,0;D612;FIIC85800C;GUICCIARDINI;CADORNA;NORMALE;FIRENZE;SCUOLA PRIMARIA;NO;Non Disponibile;FIIC85800C@istruzione.it;Non Disponibile;VIA DEL PONTORMO 90;FIRENZE;TOSCANA;SI;http//ic-guicciardini.gov.it/;True;11,2293177;43,8167439;SCUOLA PRIMARIA;206
FIMM84901P;201617;CENTRO;50132,0;D612;FIIC84900N;MASACCIO;MASACCIO;NORMALE;FIRENZE;SCUOLA PRIMO GRADO;NO;Non Disponibile;FIIC84900N@istruzione.it;Non Disponibile;VIALE MAZZINI 82;FIRENZE;TOSCANA;SI;www.comprensivomasaccio.gov.it;True;11,2766685;43,7766296;SCUOLA SECONDARIA I GRADO;525
FIEE85801E;201617;CENTRO;50141,0;D612;FIIC85800C;GUICCIARDINI;DON MINZONI;NORMALE;FIRENZE;SCUOLA PRIMARIA;NO;Non Disponibile;FIIC85800C@istruzione.it;Non Disponibile;VIA R. GIULIANI 180;FIRENZE;TOSCANA;SI;www.ic-guicciardini.gov.it;True;11,2353927;43,8043886;SCUOLA PRIMARIA;410
FIMM83701C;201617;CENTRO;;D612;FIIC83700B;PIRANDELLO;PIRANDELLO;NORMALE;FIRENZE;SCUOLA PRIMO GRADO;NO;Non Disponibile;FIIC83700B@istruzione.it;Non Disponibile;VIA S.MARIA A CINTOIA 8;FIRENZE;TOSCANA;SI;www.icpirandello.it;True;11,1947791;43,780899299999994;SCUOLA SECONDARIA I GRADO;342
FIEE850032;201617;CENTRO;50133,0;D612;FIIC85000T;LE CURE;GIORGIO LA PIRA;NORMALE;FIRENZE;SCUOLA PRIMARIA;NO;Non Disponibile;FIIC85000T@istruzione.it;Non Disponibile;VIA DEI BRUNI 21;FIRENZE;TOSCANA;SI;www.iclecure.it;True;11,2654257;43,7914857;SCUOLA PRIMARIA;225
FIEE83702E;201617;CENTRO;50142,0;D612;FIIC83700B;PIRANDELLO;LOCCHI;NORMALE;FIRENZE;SCUOLA PRIMARIA;NO;Non Disponibile;FIIC83700B@istruzione.it;Non Disponibile;VIA DEL SALETTO 18;FIRENZE;TOSCANA;SI;www.ic.pirandello.it;True;11,194669300000001;43,77922480000001;SCUOLA PRIMARIA;151
