codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
IT-MI0169;Biblioteca Livia Simoni - Museo teatrale alla Scala;Museo teatrale alla Scala;Largo Ghiringhelli - Piazza della Scala;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4667675298111;9,19021368026733;Milano
IT-MI0171;Biblioteca Scuola e quartiere dell'Istituto salesiano S. Ambrogio;Salesiani. Istituto salesiano S. Ambrogio di Milano;Via Copernico 9;Enti ecclesiastici;Importante non specializzata;;False;45,4877894;9,2009305;Milano
IT-MI0173;Biblioteca Sally Mayer;Scuola della comunità israelitica di Milano;Via S. Mayer 46;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;;45,4561883;9,1376733;Milano
IT-MI0174;Biblioteca della Roche;Roche spa;Viale Stucchi 110;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,5811663;9,3087816;Milano
IT-MI0176;Biblioteca comunale rionale Villapizzone;Comune di Milano;Via F. Grugnola 3;Comune;Importante non specializzata;;False;45,4999236;9,1474471;Milano
IT-MI0179;Biblioteca comunale rionale Lorenteggio;Comune di Milano;Via E. Odazio 9;Comune;Importante non specializzata;;False;45,447522;9,1340766;Milano
IT-MI0180;Biblioteca comunale rionale Harar;Comune di Milano;Via Albenga 2;Comune;Importante non specializzata;;False;45,4739422;9,1194666;Milano
IT-MI0181;Biblioteca comunale rionale Affori;Comune di Milano;Viale Affori 21;Comune;Importante non specializzata;;False;45,5168763;9,167855;Milano
IT-MI0182;Biblioteca comunale rionale Accursio;Comune di Milano;Piazzale Accursio 5;Comune;Importante non specializzata;;False;45,4916645;9,1460891;Milano
IT-MI0183;Biblioteca francescano-cappuccina provinciale;Frati minori Cappuccini. Curia provincializia di Milano;Via Kramer 5;Enti ecclesiastici;Specializzata;;False;45,4686091;9,2086161;Milano
