;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
MIEE8D001X;201617;NORD OVEST;20152,0;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;VIA VITERBO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA VITERBO 31;MILANO;LOMBARDIA;SI;http//www.icsiqbalmasih.gov.it;True;9,1076737;45,45614279999999;SCUOLA PRIMARIA;232
MIEE8CT01X;201617;NORD OVEST;20162,0;F205;MIIC8CT00T;IC VITTORIO LOCCHI/MILANO;VITTORIO LOCCHI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CT00T@istruzione.it;Non Disponibile;VIA PASSERINI 4 8;MILANO;LOMBARDIA;SI;www.comprensivolocchi.it;True;9,1934635;45,5155292;SCUOLA PRIMARIA;328
MITD05701N;201617;NORD OVEST;20144,0;F205;MIIS05700B;NICOLA MORESCHI;NICOLA MORESCHI;NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS05700B@istruzione.it;Non Disponibile;VIALE SAN MICHELE DEL CARSO 25;MILANO;LOMBARDIA;SI;www.istitutomoreschi.it;True;9,1640676;45,462770899999995;SCUOLA SECONDARIA II GRADO;624
MIMM11300B;201617;NORD OVEST;20122,0;F205;MIMM11300B;"SMS VIA VIVAIO ""PER CIECHI""";"SMS VIA VIVAIO ""PER CIECHI""";PER CIECHI;MILANO;SCUOLA PRIMO GRADO;SI;Non Disponibile;MIMM11300B@istruzione.it;mimm11300b@pec.istruzione.it;VIA VIVAIO 7;MILANO;LOMBARDIA;SI;www.scuolavivaio.gov.it;True;9,2042;45,46863;SCUOLA SECONDARIA I GRADO;226
MIMM8FY01P;201617;NORD OVEST;20146,0;F205;MIIC8FY00N;I.C VIA VESPRI SICILIANI/MILANO;"SMS ""RINASCITA-A.LIVI""";SPERIMENTALE PER DM;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FY00N@istruzione.it;Non Disponibile;VIA CARRIERA ROSALBA N? 12/14;MILANO;LOMBARDIA;SI;WWW.ICSVESPRI.GOV;True;9,1436624;45,44693529999999;SCUOLA SECONDARIA I GRADO;250
MIEE8C0019;201617;NORD OVEST;20152,0;F205;MIIC8C0007;IC LUIGI EINAUDI /MILANO;"SCUOLA ELEMENTARE ""L. EINAUDI""";NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C0007@istruzione.it;Non Disponibile;VIA VAL D'INTELVI 11;MILANO;LOMBARDIA;SI;www.icseinaudipascoli.gov.it;True;9,0873242;45,46046740000001;SCUOLA PRIMARIA;522
MIPS18000P;201617;NORD OVEST;20146,0;F205;MIPS18000P;ELIO VITTORINI;ELIO VITTORINI;NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS18000P@istruzione.it;mips18000p@pec.istruzione.it;VIA MARIO DONATI5/7;MILANO;LOMBARDIA;SI;www.eliovittorini.gov.it;True;9,145760000000001;45,454609999999995;SCUOLA SECONDARIA II GRADO;1173
MIMM8C7013;201617;NORD OVEST;20153,0;F205;MIIC8C7002;I.C. LUCIANO MANARA;BENEDETTO MARCELLO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA BENJAMIN CONSTANT 19;MILANO;LOMBARDIA;SI;www.isitutolucianomanara.gov.it;True;9,1139315;45,4721945;SCUOLA SECONDARIA I GRADO;347
MIRI07401R;201617;NORD OVEST;20158,0;F205;MIIS074005;MARELLI;MARELLI;NORMALE;MILANO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;MIIS074005@istruzione.it;Non Disponibile;VIA LIVIGNO11;MILANO;LOMBARDIA;SI;www.marellidudovich.it;True;9,1781284;45,500559;SCUOLA SECONDARIA II GRADO;265
MIMM8CE01B;201617;NORD OVEST;20144,0;F205;MIIC8CE00A;"IC ""G. PASCOLI""/MILANO";ACHILLE MAURI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CE00A@istruzione.it;Non Disponibile;VIA ANGELO MAURI 10;MILANO;LOMBARDIA;SI;www.icspascoli-mi.gov.it;True;9,161001800000001;45,4655604;SCUOLA SECONDARIA I GRADO;475
MIEE82001P;201617;NORD OVEST;20152,0;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;FRATELLI CERVI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA DEI SALICI 2;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,0801697;45,4520442;SCUOLA PRIMARIA;324
MIPS15000V;201617;NORD OVEST;20155,0;F205;MIPS15000V;"""P. BOTTONI""";"""P. BOTTONI""";NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS15000V@istruzione.it;mips15000v@pec.istruzione.it;VIA MAC MAHON 96/98;MILANO;LOMBARDIA;SI;www.liceobottoni.gov.it;True;9,157297300000002;45,4947461;SCUOLA SECONDARIA II GRADO;613
MIEE8D102R;201617;NORD OVEST;20155,0;F205;MIIC8D100N;IC RINNOVATA PIZZIGONI/MILANO;DANTE ALIGHIERI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D100N@istruzione.it;Non Disponibile;VIA MAC MAHON 100;MILANO;LOMBARDIA;SI;www.scuolarinnovata.it;True;9,1561459;45,4956182;SCUOLA PRIMARIA;242
MIPS16000D;201617;NORD OVEST;20147,0;F205;MIPS16000D;"""G.MARCONI""";"""G.MARCONI""";NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS16000D@istruzione.it;mips16000d@pec.istruzione.it;VIA DEI NARCISI5;MILANO;LOMBARDIA;SI;www.marconionline.it;True;9,12798;45,45111;SCUOLA SECONDARIA II GRADO;877
MIPC040008;201617;NORD OVEST;20145,0;F205;MIPC040008;BECCARIA;BECCARIA;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC040008@istruzione.it;mipc040008@pec.istruzione.it;VIA CARLO LINNEO5;MILANO;LOMBARDIA;SI;www.liceobeccaria.gov.it;True;9,164207000000001;45,4783915;SCUOLA SECONDARIA II GRADO;836
MIEE8CR05C;201617;NORD OVEST;20161,0;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;P.ZZA GASPARRI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;P.ZZA GASPARRI 6;MILANO;LOMBARDIA;SI;www.icsorelleagazzi.gov.it;True;9,162136300000002;45,525729600000005;SCUOLA PRIMARIA;188
MIPS05801N;201617;NORD OVEST;20157,0;F205;MIIS058007;PAOLO FRISI;FRISI;NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS058007@istruzione.it;Non Disponibile;VIA OTRANTO CITTADINI 1;MILANO;LOMBARDIA;SI;iisfrisi.gov.it;True;9,1307384;45,514499799999996;SCUOLA SECONDARIA II GRADO;43
MIEE8D101Q;201617;NORD OVEST;20155,0;F205;MIIC8D100N;IC RINNOVATA PIZZIGONI/MILANO;RINNOVATA PIZZIGONI-MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D100N@istruzione.it;Non Disponibile;VIA C.DA CASTELLO 10;MILANO;LOMBARDIA;SI;www.scuolarinnovata.it;True;9,1586361;45,496284;SCUOLA PRIMARIA;609
MIPC05000V;201617;NORD OVEST;20122,0;F205;MIPC05000V;BERCHET;BERCHET;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC05000V@istruzione.it;mipc05000v@pec.istruzione.it;VIA DELLA COMMENDA26;MILANO;LOMBARDIA;SI;http//www.liceoberchet.gov.it;True;9,1993271;45,4556475;SCUOLA SECONDARIA II GRADO;685
MIEE8FW025;201617;NORD OVEST;20142,0;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA BARONI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA BARONI 73;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,1704541;45,4113674;SCUOLA PRIMARIA;230
MIEE82002Q;201617;NORD OVEST;20152,0;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;N.TOMMASEO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA MUGGIANO 14;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,07074;45,44891;SCUOLA PRIMARIA;95
MIMM8D001V;201617;NORD OVEST;20152,0;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;SMS IQBAL MASIH -;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA BIANCA MILESI 4;MILANO;LOMBARDIA;SI;www.icsiqbalmasih.gov.it;True;9,1031381;45,46030820000001;SCUOLA SECONDARIA I GRADO;417
MIPS026016;201617;NORD OVEST;20159,0;F205;MIIS02600Q;CREMONA;"L. S."" L.CREMONA"" -SEZ. ASS. IIS CREMONA";NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS02600Q@istruzione.it;Non Disponibile;VIALE MARCHE 73;MILANO;LOMBARDIA;SI;www.iiscremona.gov.it;True;9,1901419;45,4964364;SCUOLA SECONDARIA II GRADO;845
MIPC01000C;201617;NORD OVEST;20123,0;F205;MIPC01000C;MANZONI;MANZONI;NORMALE;MILANO;LICEO CLASSICO;SI;Non Disponibile;MIPC01000C@istruzione.it;mipc01000c@pec.istruzione.it;VIA ORAZIO 3;MILANO;LOMBARDIA;SI;www.liceoclassicomanzoni.gov.it;True;9,177759;45,4598427;SCUOLA SECONDARIA II GRADO;964
MIEE8FW014;201617;NORD OVEST;20142,0;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;VIA DELL'ARCADIA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA DELL'ARCADIA;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,171453;45,4168988;SCUOLA PRIMARIA;331
MIMM823015;201617;NORD OVEST;20139,0;F205;MIIC823004;I.C. MARCELLO CANDIA;I.C. MARCELLO CANDIA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC823004@istruzione.it;Non Disponibile;VIA MINCIO 21;MILANO;LOMBARDIA;SI;www.icmarcellocandia.it;True;9,218294199999999;45,4391407;SCUOLA SECONDARIA I GRADO;330
