codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-RM0181;Biblioteca della Civiltà cattolica;Collegio degli Scrittori della Civiltà Cattolica della Compagnia di Gesù;Via di Porta Pinciana 1 - Villa Malta;Enti ecclesiastici;Importante non specializzata;False;False;Roma;0;41,896546;12,511444
IT-RM0192;Biblioteca della Confraternita di S. Giovanni Battista dei genovesi;Confraternita di S. Giovanni Battista dei genovesi;Via Anicia 12;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;Roma;1;41,88702;12,475298
IT-RM0209;Biblioteca della Fondazione Ernesta Besso;Fondazione Ernesta Besso;Largo Torre Argentina 11;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;True;Roma;2;41,896832;12,4763946
IT-RM0213;Biblioteca della Fondazione Ugo Bordoni;;Viale Trastevere 108;NON SPECIFICATA;NON SPECIFICATA;;;Roma;3;41,881597;12,4678897
IT-RM0222;Biblioteca della Pontificia Abbazia S. Girolamo in Urbe;;Via di Torre Rossa 21;NON SPECIFICATA;NON SPECIFICATA;;;Roma;4;41,8945836;12,4289646
IT-RM0224;Biblioteca della Presidenza nazionale dell' Azione cattolica italiana;;Via Conciliazione 1;NON SPECIFICATA;NON SPECIFICATA;;;Roma;5;41,902264;12,4640995
IT-RM0228;Biblioteca della Residenza universitaria internazionale;;Via Sierra Nevada 10;NON SPECIFICATA;NON SPECIFICATA;;;Roma;6;41,8247727;12,4781683
IT-RM0233;Biblioteca della Scuola superiore di polizia;;Via dell'aeronautica 7;NON SPECIFICATA;NON SPECIFICATA;;;Roma;7;41,82647;12,474265
IT-RM0235;Biblioteca della Società filologica romana;;Piazzale A. Moro 2;NON SPECIFICATA;NON SPECIFICATA;;;Roma;8;41,9018309;12,511819
IT-RM0237;Biblioteca della Società finanziaria telefonica. STET;;Via Aniene 31;NON SPECIFICATA;NON SPECIFICATA;;;Roma;9;41,91113;12,4960357
IT-RM0239;Biblioteca della Società geologica italiana;;Piazzale delle Scienze 2;NON SPECIFICATA;NON SPECIFICATA;;;Roma;10;41,9033042;12,5110727
IT-RM0243;Biblioteca della Società italiana per il gas. ITALGAS;;Via Ostiense 84;NON SPECIFICATA;NON SPECIFICATA;;;Roma;11;41,8687301;12,479385
IT-RM0244;Biblioteca della Società italiana per il progresso delle scienze;Società italiana per il progresso delle scienze;Viale Regina Margherita 202;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;False;Roma;12;41,9145536;12,5045165
