CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat
9082;0;Via G. Branca, 62;AMOROSO SACCHETTA GIOVANNI;1241670585;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via G. Branca, 62, 153, ROMA;Via Giovanni Branca 62, 00153, Roma;12.475741196635752;41.8810142930925
9083;0;Via Tagliamento, 58/60;BONSIGNORI GIUSEPPE;1405530583;198;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.4614273073;12.6886350499;1;Via Tagliamento, 58/60, 198, ROMA;Via Tagliamento 58, 00198, Roma;12.504365936724541;41.92099014570952
9084;0;Via dei Serpenti, 177;ENEI LILIANA;988150587;184;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2007;-;Ordinaria;1;41.8961570812;12.4902049403;1;Via dei Serpenti, 177, 184, ROMA;Via dei Serpenti 177, 00184, Roma;12.4908885895032;41.89429453205611
9085;0;PIAZZA SAN BARTOLOMEO ALL'ISOLA, 39;FATEBENEFRATELLI;989031000;186;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.9236809188;12.5711488039;1;PIAZZA SAN BARTOLOMEO ALL'ISOLA, 39, 186, ROMA;Piazza di San Bartolomeo all'Isola 39, 00186, Roma;12.477587817256888;41.89034627969873
9086;0;Piazza San Cosimato, 34-35 (Mercato);PELLEGRINI EREDI DR. CARLO PELLEGRINI DI A. E G. PELLEGRINI & C. SNC;12579131009;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.88617525;12.4693531;1;Piazza San Cosimato, 34-35 (Mercato), 153, ROMA;Piazza di San Cosimato 34, 00153, Roma;12.46923196543375;41.88750100943506
9087;0;Via Nazionale, 228;PIRAM ALBERTO;9709071006;184;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/05/2008;-;Ordinaria;1;41.8984581194;12.4897895777;1;Via Nazionale, 228, 184, ROMA;Via Nazionale 228, 00184, Roma;12.49324150790586;41.90075998917995
9088;0;Via S. Gallicano, 23;SAN GALLICANO IFO 319 - GESTIONE FARMACIA IGEA SNC;1033011006;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2016;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via S. Gallicano, 23, 153, ROMA;Via di San Gallicano 23, 00153, Roma;12.472943668878818;41.88791426533555
9089;0;Via del Corso, 498;SAN GIACOMO SNC DI TOMADINI GIUSEPPINA;10337271000;186;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2010;-;Ordinaria;1;41.8990746991;12.4812067939;1;Via del Corso, 498, 186, ROMA;Via del Corso 498, 00186, Roma;12.477366188729892;41.90814603497029
9090;0;Via del Gambero, 13 A;ANTICA FARMACIA REALE DELLA DR.SSA CLELIA ORLANDI E C. SAS;10218961000;187;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2011;-;Ordinaria;1;41.9030548351;12.4803925827;1;Via del Gambero, 13 A, 187, ROMA;Via del Gambero 13A, 00187, Roma;12.480190402302501;41.903336179294826
9091;0;Via Gargano, 50;SEVERI SILVESTRINI CORRADO;13480501009;141;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9354751;12.53437435;1;Via Gargano, 50, 141, ROMA;Via Gargano 50, 00141, Roma;12.53420469830919;41.93679837829649
9092;0;Piazza S. Lorenzo in Lucina, 27;Sbarigia Sas;10218961000;186;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2010;-;Ordinaria;1;41.9236809188;12.5711488039;1;Piazza S. Lorenzo in Lucina, 27, 186, ROMA;Piazza di San Lorenzo in Lucina 27, 00186, Roma;12.477914843181974;41.90364643297363
9093;0;Piazza Lecce, 13/14;PIAZZA LECCE SNC DEL DR.  ERNESTO ROSSI;7815840637;161;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2011;-;Ordinaria;1;41.9107068365;12.5160083672;1;Piazza Lecce, 13/14, 161, ROMA;Piazza Lecce 13, 00161, Roma;12.516487941716205;41.911021990564926
9094;0;Viale Jonio, 353;SANT'ANTONIO DI DANIELA COSTANZO & C. SAS;5798621008;141;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/04/2015;-;Ordinaria;1;41.4602116226;12.6744124752;1;Viale Jonio, 353, 141, ROMA;Viale Jonio 353, 00141, Roma;12.529217124993083;41.94567251457096
9095;0;Via di Capo Le Case, 47;SANTI ANNA LAURA;765920582;187;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via di Capo Le Case, 47, 187, ROMA;Via di Capo le Case 47, 00187, Roma;12.484725841797005;41.903931310577626
9096;0;Piazza Santiago del Cile, 23;PARIOLI DEL DR. RECCHI FRANCESCHINI RINALDO SAS;12726921005;197;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9295427412;12.483860272;1;Piazza Santiago del Cile, 23, 197, ROMA;Piazza Santiago del Cile 23, 00197, Roma;12.486954518754551;41.92593333472787
9097;0;Viale Regina Margherita, 221/223;PIAZZA REGINA MARGHERITA DEL DOTT. EMILIO MANFREDI;11118071007;198;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2011;-;Ordinaria;1;41.8097841716;12.6808425573;1;Viale Regina Margherita, 221/223, 198, ROMA;Viale Regina Margherita 221, 00198, Roma;12.506418104910868;41.913283830140244
9098;0;Via Rapagnano, 2;EREDI SIMEONI LUIGI;8932711008;138;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/06/2006;-;Ordinaria;1;41.9829307467;12.5133274116;1;Via Rapagnano, 2, 138, ROMA;Via Rapagnano 2, 00138, Roma;12.513350468347937;41.98426900943506
9099;0;Via G.B. Morgagni, 30;VITI DE ANGELIS FRANCESCO PAOLO CLAUDIO;8425831008;161;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/02/2008;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via G.B. Morgagni, 30, 161, ROMA;Via Giovanni Battista Morgagni 30, 00161, Roma;12.510996606295844;41.909949031911864
9100;0;Piazza di Trevi, 89;CIOTTI ALESSANDRA;9052501005;187;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/04/2007;-;Ordinaria;1;41.9010597;12.4829092;1;Piazza di Trevi, 89, 187, ROMA;Piazza di Trevi 89, 00187, Roma;12.483623090339908;41.900947040798656
9101;0;Via Migiurtina, 43/45;CHIMENTI BRUNO;949980585;199;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;-;Ordinaria;1;41.9304432;12.5216696;1;Via Migiurtina, 43/45, 199, ROMA;Via Migiurtinia 43, 00199, Roma;12.521633537740243;41.93045345184374
9102;0;Via Libia, 225-227;SAN STANISLAO SAS DI ROMEO CARMELA GIULIA & C. SAS;12439401006;199;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via Libia, 225-227, 199, ROMA;Viale Libia 225, 00199, Roma;12.520187481678144;41.93272711962603
9103;0;Via Ettore Romagnoli, 76/78;SERLENGA TOMMASO;2386100586;137;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.9434803;12.54768285;1;Via Ettore Romagnoli, 76/78, 137, ROMA;Via Ettore Romagnoli 76, 00137, Roma;12.54764232154189;41.94322980544174
9104;0;Via Montaione, 68/70;MARZOLI 2 SAS;13591141000;139;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via Montaione, 68/70, 139, ROMA;Via Montaione 68, 00139, Roma;12.515811322926876;41.95118792200935
9105;0;Via Val di Non, 10;CONCA D'ORO SNC DEI DR.I MIGLIORINO M.GABRIELLA ED EUG CIRO CALIANDRO;712290584;141;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via Val di Non, 10, 141, ROMA;Via Val di Non 10, 00141, Roma;12.517327147786988;41.944516449073795
9106;0;Largo Arenula, 36;ANTICA FARMACIA TORRE ARGENTINA SAS DI BORBOTTI GIUSEPPINA;10017011007;186;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/09/2015;-;Ordinaria;1;41.89496;12.4760912;1;Largo Arenula, 36, 186, ROMA;Largo Arenula 36, 00186, Roma;12.476188634103782;41.894773024772725
9107;0;Via S. Francesco a Ripa, 131;ANTICA FARMACIA SAN FRANCESCO DELLA DR.SSA CLELIA ORLANDI E C. SAS;11961311005;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via S. Francesco a Ripa, 131, 153, ROMA;Via di San Francesco a Ripa 131, 00153, Roma;12.471889295862445;41.88696386955394
9108;0;Via D. Morichini, 24/26;IPPOCRATE SNC DI FRANCESCO MARIA DE BELLA E C.;12668721009;161;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via D. Morichini, 24/26, 161, ROMA;Via Gaetano Morichini 24, 00042, Anzio, Roma;12.641623499884446;41.473918163742916
9109;0;Via S. Croce in Gerusalemme, 22/A;STRAMPELLI SAS;11591621005;185;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via S. Croce in Gerusalemme, 22/A, 185, ROMA;Piazza di Santa Croce in Gerusalemme 22, 00185, Roma;12.51531687384348;41.88881840153609
9110;0;Via Radicofani, 206/a (B.ta Fidene);CALVANI SNC DI CASELLI SERGIO E CIAMBELLINI MAURIZIO;9575261004;138;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2008;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via Radicofani, 206/a (B.ta Fidene), 138, ROMA;Via Radicofani 206, 00138, Roma;12.515249492930886;41.972928862340574
9111;0;Viale Aventino, 78;MOSTACCI FRANCO;712260587;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.8822780027;12.4862452019;1;Viale Aventino, 78, 153, ROMA;Viale Aventino 78, 00153, Roma;12.485999672485486;41.88212686678396
9112;0;Viale Somalia, 84 (Ang. Via Villa Chigi);CAPRINO SNC;11822231004;199;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9236809188;12.5711488039;1;Viale Somalia, 84 (Ang. Via Villa Chigi), 199, ROMA;Viale Somalia 84, 00199, Roma;12.514010820012683;41.93595560560335
9113;0;Via Priscilla, 77/79;TAGLIAVINI DI CIANCI FRANCESCA E GIUDITTA E C. SAS;13654031007;199;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via Priscilla, 77/79, 199, ROMA;Via di Priscilla 77, 00199, Roma;12.511666330832732;41.93168528864908
9114;0;Via G.Antamoro, 86/b;VALENTINI MASSIMO;825481005;137;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via G.Antamoro, 86/b, 137, ROMA;Via Giulio Antamoro 86B, 00139, Roma;12.544976286600278;41.95979926672053
9115;0;Viale XXI Aprile, 31;EREDI MANCINI DI LORENZO MANCINI;13104841005;162;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/07/2017;-;Ordinaria;1;41.9236809188;12.5711488039;1;Viale XXI Aprile, 31, 162, ROMA;Viale Ventuno Aprile 31, 00162, Roma;12.520283830284473;41.9168829708581
9116;0;Via G. Pacini, 15;BAGNARELLI MASSIMO;1066780584;198;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/09/2010;-;Ordinaria;1;41.9236809188;12.5711488039;1;Via G. Pacini, 15, 198, ROMA;Via Giovanni Pacini 15, 00198, Roma;12.496234977234751;41.91731908826244
