CODSCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
RMEE84401Q;201617;CENTRO;00057;H501;RMIC84400N;VIA BOCCEA 590;CASTEL DI GUIDO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC84400N@istruzione.it;Non Disponibile;VIA GAETANO SODINI 25;ROMA;LAZIO;SI;www.icviaboccea590.gov.it;True;12,2869963;41,9015985;SCUOLA PRIMARIA;90
RMEE8GR01P;201617;CENTRO;00135;H501;RMIC8GR00L;IC PABLO NERUDA;SANT'ANDREA;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GR00L@istruzione.it;Non Disponibile;VIA ASCREA;ROMA;LAZIO;SI;WWW.ICPABLONERUDA.GOV.IT;True;12,4099314;41,9669237;SCUOLA PRIMARIA;125
RMEE839018;201617;CENTRO;00173;H501;RMIC839006;IC VIA G. MESSINA;M. BOSCO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC839006@istruzione.it;Non Disponibile;VIA MESSINA 51;ROMA;LAZIO;SI;www.comprensivogmessina.it;True;12,5746191;41,858585299999994;SCUOLA PRIMARIA;387
RMEE8D901V;201617;CENTRO;00199;H501;RMIC8D900R;I.C. VIA VOLSINIO;MAZZINI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8D900R@istruzione.it;Non Disponibile;VIA VOLSINIO 25;ROMA;LAZIO;SI;www.istitutoviavolsinio.it;True;12,5093709;41,924345200000005;SCUOLA PRIMARIA;552
RMEE851031;201617;CENTRO;00124;H501;RMIC85100R;W. A. MOZART;MOZART - PRIMARIA BEDOLLO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC85100R@istruzione.it;Non Disponibile;VIA BEDOLLO S.N.C.;ROMA;LAZIO;SI;http//www.scuolamozart.gov.it/;True;12,361618;41,7311327;SCUOLA PRIMARIA;411
RMMM8EZ01C;201617;CENTRO;00172;H501;RMIC8EZ00B;VIA DEI SESAMI;"""SAN BENEDETTO""";NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8EZ00B@istruzione.it;Non Disponibile;VIA DEI SESAMI20;ROMA;LAZIO;SI;www.sanbenedetto.it;True;12,572164;41,8840369;SCUOLA SECONDARIA I GRADO;522
RMMM841017;201617;CENTRO;00126;H501;RMIC841006;I.C.GIOVANNI PAOLO II;SAN FRANCESCO;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC841006@istruzione.it;Non Disponibile;VIA N. MASCARDI 11;ROMA;LAZIO;SI;WWW.ICGIOVANNIPAOLOII.IT;True;12,35261;41,78311;SCUOLA SECONDARIA I GRADO;241
RMMM8E701R;201617;CENTRO;00133;H501;RMIC8E700Q;IC VIA ACQUARONI;ENRICO MEDI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8E700Q@istruzione.it;Non Disponibile;VIA ACQUARONI 65;ROMA;LAZIO;SI;www.istitutocomprensivoacquaroni.gov.it;True;12,6442538;41,8662529;SCUOLA SECONDARIA I GRADO;279
RMEE8FB019;201617;CENTRO;00133;H501;RMIC8FB007;IC VIA POSEIDONE;CHICO MENDEZ;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8FB007@istruzione.it;Non Disponibile;VIA POSEIDONE 39;ROMA;LAZIO;SI;WWW.ICVIAPOSEIDONE.GOV.it;True;12,61904;41,8705;SCUOLA PRIMARIA;481
RMEE85703X;201617;CENTRO;00123;H501;RMIC85700Q;ENZO BIAGI;PLESSO TRAGLIATA;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC85700Q@istruzione.it;Non Disponibile;TULLIANA 49;ROMA;LAZIO;SI;www.bacheca-scuola.it/enzobiagi/;True;12,2550266;41,974855299999994;SCUOLA PRIMARIA;86
RMEE839029;201617;CENTRO;00173;H501;RMIC839006;IC VIA G. MESSINA;VIA CARLO FADDA;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC839006@istruzione.it;Non Disponibile;VIA CARLO FADDA 91/93;ROMA;LAZIO;SI;www.comprensivogmessina.it;True;12,5707318;41,8632148;SCUOLA PRIMARIA;90
