route_id;route_type;stop_id;IDquartiere;SEZ2011;stop_name;stop_desc;Lat;Long;wheelchair_boarding;stopCode
METROU;1;8212;13;12720003824;METRO MARCHE;corso Francia / corso Marche;45.07432;7.614560000000001;1;8212_METROU
METROU;1;8213;14;12720002048;METRO MASSAUA;;45.07457;7.6201300000000005;1;8213_METROU
METROU;1;8214;14;12720002050;METRO POZZO STRADA;corso Francia / via Pozzo strada;45.07493;7.62893;1;8214_METROU
METROU;1;8215;14;12720002055;METRO MONTE GRAPPA;corso Francia / corso Monte Grappa;45.07521;7.63559;1;8215_METROU
METROU;1;8216;6;12720001300;METRO RIVOLI;piazza Rivoli;45.07557;7.64395;1;8216_METROU
METROU;1;8217;5;12720001355;METRO RACCONIGI;corso Francia / corso Racconigi;45.07568;7.6482600000000005;1;8217_METROU
METROU;1;8218;5;12720001360;METRO BERNINI;piazza Bernini;45.07598;7.65568;1;8218_METROU
METROU;1;8219;5;12720000725;METRO PRINCIPI ACAJA;corso Francia / via Principi d'Acaja;45.07632;7.66447;1;8219_METROU
METROU;1;8220;1;12720000261;METRO XVIII DICEMBRE;piazza XVIII Dicembre - stazione Porta Susa;45.07419;7.6684600000000005;1;8220_METROU
METROU;1;8221;1;12720000294;METRO PORTA SUSA;;45.06987;7.66477;1;8221_METROU
METROU;1;8222;3;12720000775;METRO VINZAGLIO;;45.06727;7.6662300000000005;1;8222_METROU
METROU;1;8223;1;12720000143;METRO RE UMBERTO;;45.06451;7.67402;1;8223_METROU
METROU;1;8224;1;12720000148;METRO PORTA NUOVA;;45.06276;7.678999999999999;1;8224_METROU
METROU;1;8225;2;12720000825;METRO MARCONI;;45.05713;7.6769300000000005;1;8225_METROU
METROU;1;8226;2;12720000869;METRO NIZZA;;45.0514;7.67466;1;8226_METROU
METROU;1;8227;2;12720000903;METRO DANTE;;45.046890000000005;7.67288;1;8227_METROU
METROU;1;8228;9;12720002223;METRO CARDUCCI;;45.0423;7.671119999999999;1;8228_METROU
METROU;1;8229;9;12720002240;METRO SPEZIA;;45.03768;7.66933;1;8229_METROU
METROU;1;8230;9;12720002271;METRO LINGOTTO;;45.030770000000004;7.6666;1;8230_METROU
4U;0;1105;11;12720002153;DISTRETTO MILITARE;C.TURATI / C.LEPANTO;45.047;7.6623600000000005;1;1105_4U
S04U;3;1105;11;12720002153;DISTRETTO MILITARE;C.TURATI / C.LEPANTO;45.047;7.6623600000000005;1;1105_S04U
4U;0;1216;7;12720001100;EMILIA;C.G.CESARE N. 17;45.081759999999996;7.68687;1;1216_4U
11U;3;1216;7;12720001100;EMILIA;C.G.CESARE N. 17;45.081759999999996;7.68687;1;1216_11U
50U;3;1216;7;12720001100;EMILIA;C.G.CESARE N. 17;45.081759999999996;7.68687;1;1216_50U
51U;3;1216;7;12720001100;EMILIA;C.G.CESARE N. 17;45.081759999999996;7.68687;1;1216_51U
N04U;3;1216;7;12720001100;EMILIA;C.G.CESARE N. 17;45.081759999999996;7.68687;1;1216_N04U
4U;0;1220;3;12720000395;PASTRENGO;V. SACCHI DOPO V. PASTRENGO;45.05803;7.67408;1;1220_4U
S04U;3;1220;3;12720000395;PASTRENGO;V. SACCHI DOPO V. PASTRENGO;45.05803;7.67408;1;1220_S04U
4U;0;1372;23;12720002355;PARCHEGGIO CAIO MARIO;CORSO UNIONE SOVIETICA / VIA PERNATI DI MOMO;45.0275;7.6406;1;1372_4U
18U;3;1372;23;12720002355;PARCHEGGIO CAIO MARIO;CORSO UNIONE SOVIETICA / VIA PERNATI DI MOMO;45.0275;7.6406;1;1372_18U
4U;0;1913;3;12720003261;VESPUCCI;C.TURATI / V.VESPUCCI;45.05323;7.6694;1;1913_4U
S04U;3;1913;3;12720003261;VESPUCCI;C.TURATI / V.VESPUCCI;45.05323;7.6694;1;1913_S04U
4U;0;1914;3;12720000407;SOMMEILLER;V. SACCHI / C. SOMMEILLER;45.05535;7.6718;1;1914_4U
S04U;3;1914;3;12720000407;SOMMEILLER;V. SACCHI / C. SOMMEILLER;45.05535;7.6718;1;1914_S04U
4U;0;1915;3;12720000395;STATI UNITI;V. SACCHI DOPO C. STATI UNITI;45.06021;7.675660000000001;1;1915_4U
S04U;3;1915;3;12720000395;STATI UNITI;V. SACCHI DOPO C. STATI UNITI;45.06021;7.675660000000001;1;1915_S04U
4U;0;200;1;12720003106;PORTA PALAZZO SUD;P. DELLA REPUBBLICA PRIMA DI V. MILANO;45.07607;7.683039999999999;1;200_4U
11U;3;200;1;12720003106;PORTA PALAZZO SUD;P. DELLA REPUBBLICA PRIMA DI V. MILANO;45.07607;7.683039999999999;1;200_11U
19U;3;200;1;12720003106;PORTA PALAZZO SUD;P. DELLA REPUBBLICA PRIMA DI V. MILANO;45.07607;7.683039999999999;1;200_19U
27U;3;200;1;12720003106;PORTA PALAZZO SUD;P. DELLA REPUBBLICA PRIMA DI V. MILANO;45.07607;7.683039999999999;1;200_27U
51U;3;200;1;12720003106;PORTA PALAZZO SUD;P. DELLA REPUBBLICA PRIMA DI V. MILANO;45.07607;7.683039999999999;1;200_51U
57U;3;200;1;12720003106;PORTA PALAZZO SUD;P. DELLA REPUBBLICA PRIMA DI V. MILANO;45.07607;7.683039999999999;1;200_57U
N04U;3;200;1;12720003106;PORTA PALAZZO SUD;P. DELLA REPUBBLICA PRIMA DI V. MILANO;45.07607;7.683039999999999;1;200_N04U
W60U;3;200;1;12720003106;PORTA PALAZZO SUD;P. DELLA REPUBBLICA PRIMA DI V. MILANO;45.07607;7.683039999999999;1;200_W60U
4U;0;232;18;12720001665;PALERMO;C.G.CESARE / V.ELVO;45.09083;7.692769999999999;1;232_4U
N04U;3;232;18;12720001665;PALERMO;C.G.CESARE / V.ELVO;45.09083;7.692769999999999;1;232_N04U
