codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
IT-TO0176;Biblioteca civica Emilio Garrou;Comune di Prali;Piazza Perro 10;Comune;Pubblica;;False;44,8892191;7,0488073;Torino
IT-TO0403;Biblioteca civica Lelio Basso;Comune di Trofarello;Via C. Battisti;Comune;Pubblica;;False;44,9814949;7,7411556;Torino
IT-TO0405;Biblioteca civica;Comune di Usseglio;Via Roma 7;Comune;Pubblica;;False;45,2326647;7,2178919;Torino
IT-TO0407;Biblioteca civica Renato Bertolotto;Comune di Val della Torre;Via Mulino 115;Comune;Pubblica;;False;45,159458;7,4364643;Torino
IT-TO0409;Biblioteca civica;Comune di Valperga;Via G. Matteotti 19;Comune;Pubblica;;False;45,3697154;7,6563096;Torino
IT-TO0412;Biblioteca civica;Comune di Varisella;Via don G. Cabodi 4;Comune;Pubblica;;False;45,2102334;7,489395;Torino
IT-TO0413;Biblioteca comunale Tancredi Milone;Comune di Venaria;Via Verdi, 18;Comune;Pubblica;;False;45,130781;7,62753;Torino
IT-TO0414;Biblioteca civica;Comune di Verolengo;Via C. Battisti 5;Comune;Pubblica;;False;45,1892409;7,9670633;Torino
IT-TO0419;Biblioteca civica;Comune di Vico Canavese;Via Costituzione;Comune;Pubblica;;False;45,4942099;7,7818802;Torino
IT-TO0421;Biblioteca civica Giuseppe Luisia;Comune di Vigone;Via Umberto I  9;Comune;Pubblica;;False;44,843135;7,494017;Torino
IT-TO0422;Biblioteca civica;Comune di Villafranca Piemonte;Via Valzania 10;Comune;Pubblica;;False;44,7804805;7,5018082;Torino
IT-TO0424;Biblioteca civica;Comune di Villardora;Via Pelissere 1;Comune;Pubblica;;False;45,1154408;7,384223;Torino
IT-TO0425;Biblioteca civica;Comune di Villar Focchiardo;Via Conte Carroccio 30;Comune;Pubblica;;False;45,1095523;7,2267709;Torino
IT-TO0427;Biblioteca civica;Comune di Villar Perosa;Viale primo maggio 37 ;Comune;Pubblica;;False;44,9014996;7,2323227;Torino
IT-TO0428;Biblioteca civica Luciano Tamburini;Comune di Villarbasse;Via Fratelli Vitrani 9;Comune;Pubblica;;False;45,04398;7,465657;Torino
IT-TO0430;Biblioteca civica;Comune di Villareggia;Via della Piazza 14;Comune;Pubblica;;False;45,3111059;7,9781739;Torino
IT-TO0432;Biblioteca civica Giacolin Avataneo;Comune di Villastellone;Via Artemisia Gentileschi 1;Comune;Pubblica;;False;44,9239475;7,75000899999998;Torino
IT-TO0433;Biblioteca civica;Comune di Vinovo;Via San Bartolomeo n. 40;Comune;Pubblica;True;False;44,9482582;7,63353480000001;Torino
IT-TO0435;Biblioteca civica;Comune di Vische;Piazza colonnello Amione;Comune;Pubblica;;False;45,3329774;7,9505611;Torino
IT-TO0437;Biblioteca civica;Comune di Viu';Via Rimembranza;Comune;Pubblica;;False;45,2375546;7,3760312;Torino
IT-TO0438;Biblioteca civica;Comune di Volvera;Via San Michele, 14;Comune;Pubblica;;False;44,9569942;7,5117562;Torino
IT-TO0439;Biblioteca Comunale;Comune di Borgone di Susa;Via G. Bobba 33;Comune;Pubblica;;False;45,1202522;7,2406746;Torino
IT-TO0444;Biblioteca civica;Comune di Rivarolo Canavese;Via Palma di Cesnola 20;Comune;Pubblica;;False;45,3332195;7,7246143;Torino
IT-TO0445;Biblioteca Ginatta;Ginatta Spa;Via Brofferio 3;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,0676218;7,6751643;Torino
IT-TO0447;Biblioteca del Centro studi del Teatro stabile di Torino;Teatro stabile di Torino;Piazza San Carlo 161;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;False;45,0678927;7,6832018;Torino
IT-TO0449;Biblioteca civica Cascina Marchesa;Comune di Torino;Corso Vercelli 141/7;Comune;Pubblica;True;False;45,0973757;7,69231349999996;Torino
IT-TO0451;Biblioteca civica Francesco Cognasso;Comune di Torino;Corso Cincinnato 115;Comune;Pubblica;True;False;45,0975139;7,6389061;Torino
IT-TO0452;Biblioteca dell'Istituto universitario di studi europei;Istituto universitario di studi europei;Lungo Dora Siena 100;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,0739747;7,69965509999997;Torino
IT-TO0453;Biblioteca del Centro studi e laboratori telecomunicazioni;Centro studi e laboratori telecomunicazioni - CSELT;Via G. Reiss Romoli 274;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,1111762;7,6702249;Torino
IT-TO0456;Biblioteca della Casa madre Opere don Bosco;Salesiani. Casa madre Opere don Bosco di Torino;Via Maria Ausiliatrice 32;Enti ecclesiastici;Specializzata;;True;45,0804605;7,6764898;Torino
IT-TO0457;Biblioteca del centro di documentazione della Fondazione Giovanni Agnelli;Fondazione Giovanni Agnelli;Via Giacosa 38;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,0542676;7,6835036;Torino
IT-TO0458;Biblioteca del Centro studi sul giornalismo Gino Pestelli;Centro studi Gino Pestelli;Corso Stati Uniti, 27;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,0628245;7,6695745;Torino
IT-TO0459;Bibliothek des Goethe-Instituts Turin;Goethe-Institut Turin;Piazza San Carlo 206;Istituzioni straniere;Specializzata;;False;45,0674173;7,681911;Torino
IT-TO0461;Biblioteca del Collegio universitario Renato Einaudi;Collegio universitario Renato Einaudi;Via Maria Vittoria 39;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,0650645;7,6924022;Torino
IT-TO0462;Biblioteca e archivio delle tradizioni e del costume ebraici Benvenuto e Alessandro Terracini;Archivio delle tradizioni e del costume ebraici Benvenuto e Alessandro Terracini;Via San Pio V  12;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,0600669;7,6835243;Torino
IT-TO0463;Biblioteca dell'Istituto ricerche economico-sociali del Piemonte;Istituto ricerche economico-sociali del Piemonte - IRES;Via Bogino 21;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;False;45,0669888;7,686554;Torino
IT-TO0464;Biblioteca dell'Istituto piemontese Antonio Gramsci;Fondazione Istituto piemontese Antonio Gramsci;Via del carmine, 14;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,0761456;7,67420679999998;Torino
IT-TO0466;Biblioteca Piero Martinetti;Fondazione Piero Martinetti per gli studi di storia filosofica e religiosa;Via Po 19;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,0688932;7,6890922;Torino
IT-TO0468;Biblioteca del CSI Piemonte - Consorzio per il sistema informativo;Consorzio per il sistema informativo;Corso Unione Sovietica 216;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,0386949;7,6528017;Torino
IT-TO0469;Biblioteca della Fondazione Luigi Firpo. Centro di Studi sul Pensiero Politico Onlus;Fondazione Luigi Firpo - Centro di Studi sul Pensiero Politico Onlus;Piazza Carlo Alberto 3;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,0698873246648;7,68717997141107;Torino
IT-TO0472;Biblioteca dell'Istituto internazionale don Bosco;Circoscrizione speciale Piemonte e Valle d'Aosta - ICP Maria Ausiliatrice;Via Caboto, 27;Enti ecclesiastici;Istituto di insegnamento superiore;True;False;45,0553041;7,661381;Torino
IT-TO0473;Biblioteca dell'Istituto piemontese per la storia della Resistenza e della società contemporanea Giorgio Agosti;Istituto piemontese per la storia della Resistenza e della società contemporanea Giorgio Agosti;Via del Carmine 13;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,0759112717563;7,67455595092622;Torino
IT-TO0474;Bibliothèque Centre culturel français de Turin;Centre culturel français de Turin;Via Pomba 23;Istituzioni straniere;Specializzata;;False;45,0651658;7,6852608;Torino
IT-TO0475;Biblioteca del centro di documentazione del Consorzio per lo sviluppo dell'elettronica e dell'automazione;Consorzio per lo sviluppo dell'elettronica e dell'automazione - CSEA;Via Ventimiglia 201;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;45,0203092;7,6673271;Torino
IT-TO0476;Biblioteca del Circolo ricreativo aziendale lavoratori della Sip;Sip. Sezione di Torino;Via Cavalli 6;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;45,0705569;7,6627554;Torino
IT-TO0477;Biblioteca civica;Comune di Vallo Torinese;Via Fiano 2;Comune;Pubblica;;False;45,224568;7,4957676;Torino
IT-TO0480;Biblioteca civica;Comune di Bollengo;Piazza Statuto 1;Comune;Pubblica;;False;45,473301;7,944872;Torino
IT-TO0481;Biblioteca civica;Comune di Cambiano;via Lagrange, 1;Comune;Pubblica;;False;44,9719319;7,7803778;Torino
IT-TO0484;Biblioteca civica;Comune di Caselle Torinese;Viale Bona 33;Comune;Pubblica;;False;45,1787921;7,6453432;Torino
IT-TO0485;Biblioteca civica;Comune di Cinzano;Via Colla 15;Comune;Pubblica;;False;45,0939711;7,9207056;Torino
IT-TO0486;Biblioteca civica;Comune di Corio;Piazza Municipio 5;Comune;Pubblica;;False;45,312463;7,532641;Torino
IT-TO0487;Biblioteca europea di cultura Victor del Litto di storia della civiltà comparata e cultura del viaggio;Centro interuniversitario di ricerche sul viaggio in Italia. CIRVI;Via Revigliasco 4;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,0008637;7,6975211;Torino
IT-TO0488;Biblioteca civica Gianni Rodari;Comune di Borgaro Torinese;Piazza Europa 2;Comune;Pubblica;;False;45,152641;7,657474;Torino
IT-TO0492;Biblioteca del Centro ricerche e studi Alto Canavese;Associazione centro ricerche e studi Alto Canavese - CORSAC;Piazza Municipio;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4134578;7,5443673;Torino
IT-TO0494;Biblioteca Comunale;Comune di Frossasco;Via S. De Vitis 10;Comune;Pubblica;;False;44,9334342;7,3511063;Torino
