CODSCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
TOMM86401B;201617;NORD OVEST;10153,0;L219;TOIC86400A;"I.C. TORINO - ""SPINELLI""";SCUOLA INT.EUROP. A.SPINELLI-TO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC86400A@istruzione.it;Non Disponibile;CORSO TORTONA N 41;TORINO;PIEMONTE;SI;www.istitutoaltierospinelli.eu;True;7,7065065000000015;45,072563200000005;SCUOLA SECONDARIA I GRADO;281
TOEE029027;201617;NORD OVEST;10155,0;L219;TOEE029005;"D.D. TORINO - ""GABELLI""";GABELLI - PESTALOZZI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE029005@istruzione.it;Non Disponibile;VIA BANFO 32;TORINO;PIEMONTE;SI;www.arigabelli.gov.it;True;7,687081200000001;45,091546;SCUOLA PRIMARIA;306
TOEE016014;201617;NORD OVEST;10129,0;L219;TOEE016003;"D.D. TORINO - ""COPPINO""";COPPINO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE016003@istruzione.it;Non Disponibile;VIA COLOMBO 36;TORINO;PIEMONTE;SI;www.circolodidatticocoppino.it;True;7,660240199999999;45,05820809999999;SCUOLA PRIMARIA;650
TOMM879015;201617;NORD OVEST;10147,0;L219;TOIC879004;I.C. TORINO - VIVALDI-MURIALDO;I.C.VIVALDI MURIALDO-VIVALDI TO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC879004@istruzione.it;Non Disponibile;VIA CASTELDELFINO 24;TORINO;PIEMONTE;SI;www.vivaldi-murialdo.it;True;7,6726292;45,1004777;SCUOLA SECONDARIA I GRADO;574
TOEE87802B;201617;NORD OVEST;10148,0;L219;TOIC878008;I.C. TORINO - UMBERTO SABA;I.C. UMBERTO SABA -L. RADICE;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC878008@istruzione.it;Non Disponibile;CORSO GROSSETO N. 112;TORINO;PIEMONTE;SI;www.icsabatorino.gov;True;7,677618999999999;45,1047851;SCUOLA PRIMARIA;193
TOEE029016;201617;NORD OVEST;10154,0;L219;TOEE029005;"D.D. TORINO - ""GABELLI""";GABELLI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE029005@istruzione.it;Non Disponibile;VIA SANTHIA 25;TORINO;PIEMONTE;SI;www.arigabelli.gov.it;True;7,6966630999999985;45,090999100000005;SCUOLA PRIMARIA;426
TOEE80501L;201617;NORD OVEST;10156,0;L219;TOIC80500E;"I.C. TORINO - ""CENA""";I.C. CENA - TORINO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC80500E@istruzione.it;Non Disponibile;STRADA SAN MAURO 32;TORINO;PIEMONTE;SI;share.dschola.it/cenatorino/default.aspx;True;7,727017900000001;45,0997414;SCUOLA PRIMARIA;186
TOEE87801A;201617;NORD OVEST;10147,0;L219;TOIC878008;I.C. TORINO - UMBERTO SABA;I.C. UMBERTO SABA - GALIMBERTI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC878008@istruzione.it;Non Disponibile;VIA MOSCA 11;TORINO;PIEMONTE;SI;www.icsabatorino.gov;True;7,677369199999998;45,1027906;SCUOLA PRIMARIA;316
TOEE8AZ01E;201617;NORD OVEST;10141,0;L219;TOIC8AZ00C;I.C. TORINO - ALBERTI;I.C. ALBERTI TORINO-SANTAROSA;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC8AZ00C@istruzione.it;Non Disponibile;VIA BRACCINI 70;TORINO;PIEMONTE;SI;http//WWW.ICALBERTI.GOV.IT;True;7,6472455;45,060663700000006;SCUOLA PRIMARIA;421
TOEE00501N;201617;NORD OVEST;10139,0;L219;TOEE00500L;"D.D. TORINO - ""BARICCO""";BARICCO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE00500L@istruzione.it;Non Disponibile;CORSO PESCHIERA 380;TORINO;PIEMONTE;SI;http//www.scuolabaricco.gov.it;True;7,6259524999999995;45,0740223;SCUOLA PRIMARIA;498
TOMM8AZ01D;201617;NORD OVEST;10141,0;L219;TOIC8AZ00C;I.C. TORINO - ALBERTI;I.C. ALBERTI - TORINO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC8AZ00C@istruzione.it;Non Disponibile;VIA TOLMINO 40;TORINO;PIEMONTE;SI;http//www.icalberti.gov.it;True;7,64491;45,05706;SCUOLA SECONDARIA I GRADO;571
TOEE817031;201617;NORD OVEST;10143,0;L219;TOIC81700R;"I.C. TORINO - ""PACINOTTI""";I.C. PACINOTTI-PRIM. MANZONI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81700R@istruzione.it;Non Disponibile;CORSO SVIZZERA 59/61;TORINO;PIEMONTE;SI;www.icpacinotti.it;True;7,650537;45,0815496;SCUOLA PRIMARIA;480
TOEE81804T;201617;NORD OVEST;10132,0;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-VITTORIO AMEDEO II;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;STRADA MONGRENO 53;TORINO;PIEMONTE;SI;http//gozzi-olivetti.org;True;7,737554299999998;45,0784287;SCUOLA PRIMARIA;124
TOMM881015;201617;NORD OVEST;10134,0;L219;TOIC881004;"I.C. TORINO - ""S. PERTINI""";I.C. S.PERTINI - VIA TUNISI TO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC881004@istruzione.it;Non Disponibile;VIA TUNISI 102;TORINO;PIEMONTE;SI;www.icpertinitorino.it;True;7,6551938999999996;45,0366049;SCUOLA SECONDARIA I GRADO;331
TOEE81803R;201617;NORD OVEST;10132,0;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-GIOVANNI VILLATA;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;VIA BEATO CAFASSO 73;TORINO;PIEMONTE;SI;http//www.gozzi-olivetti.org;True;7,730312199999998;45,0878567;SCUOLA PRIMARIA;104
TOEE00505T;201617;NORD OVEST;10141,0;L219;TOEE00500L;"D.D. TORINO - ""BARICCO""";BARICCO-FATTORI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE00500L@istruzione.it;Non Disponibile;VIA O. CASTELLINO 10;TORINO;PIEMONTE;SI;htpp//www.scuolabaricco.gov.it;True;7,630720699999999;45,068217100000005;SCUOLA PRIMARIA;230
TOEE881016;201617;NORD OVEST;10134,0;L219;TOIC881004;"I.C. TORINO - ""S. PERTINI""";"I.C. ""S. PERTINI"" - D. ABRUZZI";NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC881004@istruzione.it;Non Disponibile;VIA MONTEVIDEO 11;TORINO;PIEMONTE;SI;www.icpertinitorino.it;True;7,654177099999999;45,0364333;SCUOLA PRIMARIA;614
TOEE073018;201617;NORD OVEST;10122,0;L219;TOEE073007;D.D. ANNESSA CONVITTO UMBERTO I;UMBERTO I (CONVITTO NAZ.LE);ANNESSO A CONVITTO;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE073007@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;SI;www.cnuto.gov.it;True;7,6759051;45,074912700000006;SCUOLA PRIMARIA;367
TOEE8AY01P;201617;NORD OVEST;10142,0;L219;TOIC8AY00L;I.C. TORINO - PALAZZESCHI;I.C. PALAZZESCHI TO (PRIMARIA);NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC8AY00L@istruzione.it;Non Disponibile;VIA BRISSOGNE 32;TORINO;PIEMONTE;SI;www.icpalazzeschi.gov.it;True;7,618116100000001;45,0632097;SCUOLA PRIMARIA;208
TOEE87701E;201617;NORD OVEST;10152,0;L219;TOIC87700C;I.C. TORINO - REGIO PARCO;I.C. REGIO PARCO- LESSONA;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC87700C@istruzione.it;Non Disponibile;CORSO REGIO PARCO 19;TORINO;PIEMONTE;SI;www.icregioparco.gov.it;True;7,694513900000001;45,0771027;SCUOLA PRIMARIA;245
TOMM8AY01N;201617;NORD OVEST;10141,0;L219;TOIC8AY00L;I.C. TORINO - PALAZZESCHI;I.C. PALAZZESCHI - TORINO;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC8AY00L@istruzione.it;Non Disponibile;VIA LANCIA 140;TORINO;PIEMONTE;SI;htt//www.icpalazzeschi.gov.it;True;7,6284136999999985;45,0628398;SCUOLA SECONDARIA I GRADO;541
TOMM81801N;201617;NORD OVEST;10132,0;L219;TOIC81800L;"I.C. TORINO - ""GOZZI-OLIVETTI""";IC OLIVETTI-CAMILLO OLIVETTI;NORMALE;TORINO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TOIC81800L@istruzione.it;Non Disponibile;VIA BARDASSANO 5;TORINO;PIEMONTE;SI;http//www.gozzi-olivetti.org;True;7,711492999999999;45,067017;SCUOLA SECONDARIA I GRADO;451
TOEE06901L;201617;NORD OVEST;10137,0;L219;TOEE06900G;"D.D. TORINO - ""GOBETTI""";GOBETTI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE06900G@istruzione.it;Non Disponibile;VIA ROMITA 19;TORINO;PIEMONTE;SI;http//www.scuolagobettitorino.gov.it;True;7,626119;45,0474428;SCUOLA PRIMARIA;455
