CODSCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI;nome_citta
MIEE8D001X;201617;NORD OVEST;20152.0;F205;MIIC8D000T;IC IQBAL MASIH/MILANO;VIA VITERBO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D000T@istruzione.it;Non Disponibile;VIA VITERBO 31;MILANO;LOMBARDIA;SI;http//www.icsiqbalmasih.gov.it;True;9,1076737;45,45614279999999;SCUOLA PRIMARIA;232;MILANO
MIEE8CT01X;201617;NORD OVEST;20162.0;F205;MIIC8CT00T;IC VITTORIO LOCCHI/MILANO;VITTORIO LOCCHI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CT00T@istruzione.it;Non Disponibile;VIA PASSERINI 4 8;MILANO;LOMBARDIA;SI;www.comprensivolocchi.it;True;9,1934635;45,5155292;SCUOLA PRIMARIA;328;MILANO
MIMM11300B;201617;NORD OVEST;20122.0;F205;MIMM11300B;"SMS VIA VIVAIO ""PER CIECHI""";"SMS VIA VIVAIO ""PER CIECHI""";PER CIECHI;MILANO;SCUOLA PRIMO GRADO;SI;Non Disponibile;MIMM11300B@istruzione.it;mimm11300b@pec.istruzione.it;VIA VIVAIO 7;MILANO;LOMBARDIA;SI;www.scuolavivaio.gov.it;True;9,2042;45,46863;SCUOLA SECONDARIA I GRADO;226;MILANO
MIMM8FY01P;201617;NORD OVEST;20146.0;F205;MIIC8FY00N;I.C VIA VESPRI SICILIANI/MILANO;"SMS ""RINASCITA-A.LIVI""";SPERIMENTALE PER DM;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FY00N@istruzione.it;Non Disponibile;VIA CARRIERA ROSALBA N? 12/14;MILANO;LOMBARDIA;SI;WWW.ICSVESPRI.GOV;True;9,1436624;45,44693529999999;SCUOLA SECONDARIA I GRADO;250;MILANO
MIEE8C0019;201617;NORD OVEST;20152.0;F205;MIIC8C0007;IC LUIGI EINAUDI /MILANO;"SCUOLA ELEMENTARE ""L. EINAUDI""";NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C0007@istruzione.it;Non Disponibile;VIA VAL D'INTELVI 11;MILANO;LOMBARDIA;SI;www.icseinaudipascoli.gov.it;True;9,0873242;45,46046740000001;SCUOLA PRIMARIA;522;MILANO
MIMM8C7013;201617;NORD OVEST;20153.0;F205;MIIC8C7002;I.C. LUCIANO MANARA;BENEDETTO MARCELLO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA BENJAMIN CONSTANT 19;MILANO;LOMBARDIA;SI;www.isitutolucianomanara.gov.it;True;9,1139315;45,4721945;SCUOLA SECONDARIA I GRADO;347;MILANO
MIMM8CE01B;201617;NORD OVEST;20144.0;F205;MIIC8CE00A;"IC ""G. PASCOLI""/MILANO";ACHILLE MAURI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CE00A@istruzione.it;Non Disponibile;VIA ANGELO MAURI 10;MILANO;LOMBARDIA;SI;www.icspascoli-mi.gov.it;True;9,1610018;45,4655604;SCUOLA SECONDARIA I GRADO;475;MILANO
MIEE82001P;201617;NORD OVEST;20152.0;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;FRATELLI CERVI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA DEI SALICI 2;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,080169699999999;45,4520442;SCUOLA PRIMARIA;324;MILANO
MIEE8D102R;201617;NORD OVEST;20155.0;F205;MIIC8D100N;IC RINNOVATA PIZZIGONI/MILANO;DANTE ALIGHIERI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D100N@istruzione.it;Non Disponibile;VIA MAC MAHON 100;MILANO;LOMBARDIA;SI;www.scuolarinnovata.it;True;9,1561459;45,4956182;SCUOLA PRIMARIA;242;MILANO
MIEE8CR05C;201617;NORD OVEST;20161.0;F205;MIIC8CR006;IC SORELLE AGAZZI/ MILANO;P.ZZA GASPARRI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CR006@istruzione.it;Non Disponibile;P.ZZA GASPARRI 6;MILANO;LOMBARDIA;SI;www.icsorelleagazzi.gov.it;True;9,162136300000002;45,52572960000001;SCUOLA PRIMARIA;188;MILANO
